Wert_ID;Wertbezeichnung;Klassifikationssystem_ID
AAA002v001;Kunststoffhüllen;pc-6.0
AAA003v001;kunststoffüberzogen;pc-6.0
AAA004v001;schwarz;pc-6.0
AAA005v001;verchromt;pc-6.0
AAA006v001;vernickelt;pc-6.0
AAA007v001;poliert;pc-6.0
AAA008v001;ohne;pc-6.0
AAA009v001;klein;pc-6.0
AAA010v001;normal;pc-6.0
AAA011v001;rund;pc-6.0
AAA012v001;kurz;pc-6.0
AAA013v001;flach;pc-6.0
AAA017v001;gerade;pc-6.0
AAA022v001;glatt;pc-6.0
AAA024v001;spitz;pc-6.0
AAA025v001;Kunststoff;pc-6.0
AAA027v001;Federstahl;pc-6.0
AAA028v001;Stahl, gehärtet;pc-6.0
AAA030v001;brüniert;pc-6.0
AAA037v001;A1;pc-6.0
AAA038v001;A2;pc-6.0
AAA041v001;gekröpft;pc-6.0
AAA042v001;INOX;pc-6.0
AAA043v001;Nuclear;pc-6.0
AAA044v001;Alu;pc-6.0
AAA045v001;Zirkonkorund;pc-6.0
AAA046v001;Korund;pc-6.0
AAA047v001;Siliciumcarbid;pc-6.0
AAA048v001;SUVA;pc-6.0
AAA050v001;OSA;pc-6.0
AAA051v001;VBG 49;pc-6.0
AAA052v001;Sternloch;pc-6.0
AAA053v001;Rundloch;pc-6.0
AAA054v001;Kreuzschlitzlochung;pc-6.0
AAA055v001;Gewinde;pc-6.0
AAA056v001;Spannschaft;pc-6.0
AAA057v001;Elu;pc-6.0
AAA062v001;Gewebe;pc-6.0
AAA063v001;Papier;pc-6.0
AAA064v001;offen;pc-6.0
AAA065v001;dicht;pc-6.0
AAA066v001;halboffen;pc-6.0
AAA067v001;Stahl;pc-6.0
AAA068v001;Gummi;pc-6.0
AAA069v001;Holz;pc-6.0
AAA070v001;Blech;pc-6.0
AAA071v001;Edelstahl A2;pc-6.0
AAA072v001;Glas;pc-6.0
AAA073v001;Guss;pc-6.0
AAA074v001;nass;pc-6.0
AAA075v001;trocken;pc-6.0
AAA077v001;Stein;pc-6.0
AAA078v001;Metall;pc-6.0
