Schlagwort_ID;Schlagwortbezeichnung;Klassifikationssystem_ID
AAA000s001;Zangen;pc-6.0
AAA001s001;Abisolierzangen;pc-6.0
AAA004s001;Abisolier-Seitenschneider;pc-6.0
AAA005s001;Seitenschneider;pc-6.0
AAA007s001;Flachzangen;pc-6.0
AAA008s001;Rundzangen;pc-6.0
AAA013s001;Storchschnabelzangen;pc-6.0
AAA014s001;Telefonzangen;pc-6.0
AAA021s001;Schweißgripzangen;pc-6.0
AAA024s001;Kneifzangen;pc-6.0
AAA025s001;Monierzangen;pc-6.0
AAA027s001;Flechterzangen;pc-6.0
AAA028s001;Kraftmonierzangen;pc-6.0
AAA029s001;Diamant-Trennscheiben;pc-6.0
AAA030s001;Schleifmittel;pc-6.0
AAA031s001;Trennscheiben;pc-6.0
AAA032s001;Diamantscheiben;pc-6.0
AAA033s001;Schleifscheiben;pc-6.0
AAA034s001;Klein-Schleifmopp;pc-6.0
AAA035s001;Fächerschleifer;pc-6.0
AAA036s001;Lamellenschleifer;pc-6.0
AAA037s001;Fächerschleifscheiben;pc-6.0
AAA038s001;Schleifmoppteller;pc-6.0
AAA039s001;Fiberscheiben;pc-6.0
AAA040s001;Vulkanfiberscheiben;pc-6.0
AAA041s001;Fiberschleifscheiben;pc-6.0
AAA042s001;Schleiffiberscheiben;pc-6.0
AAA043s001;Flächenschleifscheiben;pc-6.0
AAA044s001;Stützteller;pc-6.0
AAA045s001;Gummiteller;pc-6.0
AAA046s001;Klettscheiben;pc-6.0
AAA047s001;Haftscheiben;pc-6.0
AAA048s001;Haft-Stützteller;pc-6.0
AAA049s001;Klettteller;pc-6.0
AAA050s001;Haftstützteller;pc-6.0
AAA051s001;Schleifklötze;pc-6.0
AAA052s001;Handklötze;pc-6.0
AAA053s001;Schleiffix-Handklötze;pc-6.0
AAA054s001;Schleifbänder;pc-6.0
AAA055s001;Flintpapiere;pc-6.0
AAA056s001;Scheiben;pc-6.0
AAA057s001;Finishingpapiere;pc-6.0
AAA058s001;Schleifblätter;pc-6.0
AAA059s001;Braunkörper;pc-6.0
AAA060s001;Blaukörper;pc-6.0
AAA061s001;Streifen;pc-6.0
AAA062s001;Schleifpapiere;pc-6.0
AAA063s001;Schleifmopp;pc-6.0
AAA064s001;Fächerräder;pc-6.0
AAA065s001;Lamellenräder;pc-6.0
AAA066s001;Lamellenscheiben;pc-6.0
AAA067s001;Fächerscheiben;pc-6.0
AAA070s001;Schleifstifte;pc-6.0
AAA071s001;Flexstifte;pc-6.0
AAA072s001;Polierstifte;pc-6.0
AAA073s001;Schruppschleifscheiben;pc-6.0
AAA074s001;Schruppscheiben;pc-6.0
AAA075s001;Stahlspäne;pc-6.0
AAA076s001;Stahlwolle;pc-6.0
AAA077s001;Stahlwolle-Matten;pc-6.0
AAA078s001;Stahlwollematten;pc-6.0
AAA079s001;Trennschleifscheibe;pc-6.0
AAA080s001;Walzenrundstifte;pc-6.0
AAA081s001;Zylinderstifte;pc-6.0
AAA082s001;Akkus;pc-6.0
AAA085s001;Akku-Knabber;pc-6.0
AAA086s001;Akku-Blindnietgeräte;pc-6.0
AAA087s001;Blindnietgeräte;pc-6.0
AAA088s001;Akku-Blindnietmuttergeräte;pc-6.0
AAA091s001;Akku-Bohrhämmer;pc-6.0
AAA092s001;Akku-Bohrmaschinen;pc-6.0
AAA093s001;Akku-Bohrmaschinen und Schrauber;pc-6.0
AAA094s001;Akku-Schrauber;pc-6.0
AAA096s001;Akku-Bohrschrauber;pc-6.0
AAA097s001;Akku-Fuchsschwänze;pc-6.0
AAA100s001;Akku-Handkreissägen;pc-6.0
AAA102s001;Akku-Heckenscheren;pc-6.0
AAA103s001;Akku-Kapp- und Gehrungssägen;pc-6.0
AAA104s001;Kappsägen;pc-6.0
AAA105s001;Gehrungssägen;pc-6.0
AAA108s001;Kartuschenpistolen;pc-6.0
AAA110s001;Akku-Ladegeräte;pc-6.0
AAA111s001;Kreissägen;pc-6.0
AAA114s001;Akku-Packs;pc-6.0
AAA115s001;Ersatzakkus;pc-6.0
AAA116s001;Akku-Säbelsägen;pc-6.0
AAA119s001;Akku-Schlagbohrmaschinen;pc-6.0
AAA121s001;Akku-Schlagbohrschrauber;pc-6.0
AAA122s001;Akku-Schlagbohrer;pc-6.0
AAA123s001;Akku-Schlagbohrmaschinen und Schrauber;pc-6.0
AAA124s001;Schlagbohrer;pc-6.0
AAA126s001;Akku-Schlagschrauber;pc-6.0
AAA131s001;Akku-Tacker;pc-6.0
AAA132s001;Tacker;pc-6.0
AAA134s001;Akku-Universalscheren;pc-6.0
AAA135s001;Universalscheren;pc-6.0
AAA136s001;Scheren;pc-6.0
AAA137s001;Akku-Winkelbohrmaschinen;pc-6.0
AAA139s001;Elektrische Feilen;pc-6.0
AAA142s001;Fingerschleifer;pc-6.0
