KlasseSchlagwort_Nr;Klasse_ID;Schlagwort_ID;Klassifikationssystem_ID
1;AAA000c004;AAA001s001;pc-5.0
2;AAA000c004;AAB153s001;pc-5.0
3;AAA000c004;AAB222s001;pc-5.0
4;AAA000c004;AAE052s001;pc-5.0
5;AAA002c003;AAA001s001;pc-5.0
6;AAA002c003;AAA004s001;pc-5.0
7;AAA002c003;AAA005s001;pc-5.0
8;AAA002c003;AAB153s001;pc-5.0
9;AAA002c003;AAB222s001;pc-5.0
10;AAA002c003;AAE052s001;pc-5.0
11;AAA002c003;AAE087s001;pc-5.0
12;AAA002c003;AAE088s001;pc-5.0
13;AAA002c003;AAM209s001;pc-5.0
14;AAA004c004;AAB222s001;pc-5.0
15;AAA004c004;AAB247s001;pc-5.0
16;AAA004c004;AAE002s001;pc-5.0
17;AAA004c004;AAE004s001;pc-5.0
18;AAA004c004;AAE006s001;pc-5.0
19;AAA004c004;AAE141s001;pc-5.0
20;AAA004c004;AAE144s001;pc-5.0
21;AAA005c004;AAB222s001;pc-5.0
22;AAA005c004;AAB644s001;pc-5.0
23;AAA005c004;AAE002s001;pc-5.0
24;AAA005c004;AAE004s001;pc-5.0
25;AAA005c004;AAE006s001;pc-5.0
26;AAA005c004;AAE141s001;pc-5.0
27;AAA005c004;AAE144s001;pc-5.0
28;AAA005c004;AAE160s001;pc-5.0
29;AAA005c004;AAM196s001;pc-5.0
30;AAA010c003;AAB222s001;pc-5.0
31;AAA010c003;AAB618s001;pc-5.0
32;AAA010c003;AAE004s001;pc-5.0
33;AAA017c016;AAA029s001;pc-5.0
34;AAA017c016;AAA031s001;pc-5.0
35;AAA017c016;AAA032s001;pc-5.0
36;AAA017c016;AAA033s001;pc-5.0
37;AAA017c016;AAB209s001;pc-5.0
38;AAA017c016;AAB210s001;pc-5.0
39;AAA017c016;AAB211s001;pc-5.0
40;AAA017c016;AAB212s001;pc-5.0
41;AAA017c016;AAN367s001;pc-5.0
42;AAA018c002;AAA034s001;pc-5.0
43;AAA018c002;AAA035s001;pc-5.0
44;AAA018c002;AAA036s001;pc-5.0
45;AAA018c002;AAA335s001;pc-5.0
46;AAA019c023;AAA036s001;pc-5.0
47;AAA019c023;AAA037s001;pc-5.0
48;AAA019c023;AAA038s001;pc-5.0
49;AAA019c023;AAA043s001;pc-5.0
50;AAA019c023;AAB229s001;pc-5.0
51;AAA019c023;AAB230s001;pc-5.0
52;AAA019c023;AAC175s001;pc-5.0
53;AAA019c023;AAC176s001;pc-5.0
54;AAA020c006;AAA033s001;pc-5.0
55;AAA020c006;AAA039s001;pc-5.0
56;AAA020c006;AAA040s001;pc-5.0
57;AAA020c006;AAA041s001;pc-5.0
58;AAA020c006;AAA042s001;pc-5.0
59;AAA020c006;AAB211s001;pc-5.0
60;AAA020c006;AAB238s001;pc-5.0
61;AAA020c006;AAB239s001;pc-5.0
62;AAA020c006;AAB240s001;pc-5.0
63;AAA020c006;AAB589s001;pc-5.0
64;AAA022c006;AAA044s001;pc-5.0
65;AAA022c006;AAA045s001;pc-5.0
66;AAA023c028;AAA033s001;pc-5.0
67;AAA023c028;AAA046s001;pc-5.0
68;AAA023c028;AAA047s001;pc-5.0
69;AAA023c028;AAB211s001;pc-5.0
70;AAA023c028;AAB286s001;pc-5.0
71;AAA023c028;AAB287s001;pc-5.0
72;AAA023c028;AAN369s001;pc-5.0
73;AAA023c028;AAN370s001;pc-5.0
74;AAA023c028;AAN371s001;pc-5.0
75;AAA024c004;AAA048s001;pc-5.0
76;AAA024c004;AAA049s001;pc-5.0
77;AAA024c004;AAA050s001;pc-5.0
78;AAA024c004;AAN372s001;pc-5.0
79;AAA024c004;AAN373s001;pc-5.0
80;AAA025c003;AAA051s001;pc-5.0
81;AAA025c003;AAA052s001;pc-5.0
82;AAA025c003;AAA053s001;pc-5.0
83;AAA025c003;AAB291s001;pc-5.0
