KlasseMerkmalWert_Nr;KlasseMerkmal_Nr;Wert_ID;Klassifikationssystem_ID
153;66;AAA045v001;pc-5.0
154;66;AAA046v001;pc-5.0
155;66;AAA047v001;pc-5.0
156;66;AAA174v001;pc-5.0
157;66;AAA270v001;pc-5.0
158;68;AAA050v001;pc-5.0
159;68;AAA051v001;pc-5.0
160;68;AAA175v001;pc-5.0
161;68;AAA270v001;pc-5.0
162;72;AAA045v001;pc-5.0
163;72;AAA046v001;pc-5.0
164;72;AAA047v001;pc-5.0
165;72;AAA177v001;pc-5.0
166;72;AAA270v001;pc-5.0
167;72;EAB874v001;pc-5.0
168;74;AAA050v001;pc-5.0
169;74;AAA051v001;pc-5.0
170;74;AAA175v001;pc-5.0
171;74;AAA270v001;pc-5.0
172;75;AAA052v001;pc-5.0
173;75;AAA053v001;pc-5.0
174;75;AAA054v001;pc-5.0
175;75;AAA270v001;pc-5.0
176;79;AAA055v001;pc-5.0
177;79;AAA056v001;pc-5.0
178;79;AAA270v001;pc-5.0
179;82;AAA045v001;pc-5.0
180;82;AAA046v001;pc-5.0
181;82;AAA047v001;pc-5.0
182;82;AAA178v001;pc-5.0
183;82;AAA270v001;pc-5.0
184;84;AAA057v001;pc-5.0
185;84;AAA270v001;pc-5.0
186;84;EAB875v001;pc-5.0
187;84;EAB876v001;pc-5.0
188;84;EAB877v001;pc-5.0
189;85;AAA062v001;pc-5.0
190;85;AAA063v001;pc-5.0
191;85;AAA179v001;pc-5.0
192;85;AAA180v001;pc-5.0
193;85;AAA270v001;pc-5.0
194;86;AAA084v001;pc-5.0
195;86;AAA085v001;pc-5.0
196;86;AAA128v001;pc-5.0
197;86;AAA270v001;pc-5.0
198;91;AAA025v001;pc-5.0
199;91;AAA069v001;pc-5.0
200;91;AAA072v001;pc-5.0
201;91;AAA077v001;pc-5.0
202;91;AAA078v001;pc-5.0
203;91;AAA270v001;pc-5.0
204;91;AAC700v001;pc-5.0
205;92;AAA046v001;pc-5.0
206;92;AAA047v001;pc-5.0
207;92;AAA270v001;pc-5.0
208;97;AAA045v001;pc-5.0
209;97;AAA046v001;pc-5.0
210;97;AAA047v001;pc-5.0
211;97;AAA177v001;pc-5.0
212;97;AAA178v001;pc-5.0
213;97;AAA270v001;pc-5.0
214;100;AAA062v001;pc-5.0
215;100;AAA063v001;pc-5.0
216;100;AAA179v001;pc-5.0
217;100;AAA180v001;pc-5.0
218;100;AAA181v001;pc-5.0
219;100;AAA270v001;pc-5.0
220;101;AAA064v001;pc-5.0
221;101;AAA065v001;pc-5.0
222;101;AAA066v001;pc-5.0
223;101;AAA270v001;pc-5.0
224;102;AAA270v001;pc-5.0
225;102;AAA448v001;pc-5.0
226;102;AAB237v001;pc-5.0
227;105;AAA074v001;pc-5.0
228;105;AAA075v001;pc-5.0
229;105;AAA270v001;pc-5.0
230;106;AAA046v001;pc-5.0
231;106;AAA047v001;pc-5.0
232;106;AAA182v001;pc-5.0
233;106;AAA270v001;pc-5.0
234;110;AAA062v001;pc-5.0
235;110;AAA063v001;pc-5.0
236;110;AAA179v001;pc-5.0
237;110;AAA180v001;pc-5.0
238;110;AAA270v001;pc-5.0
239;110;EAB878v001;pc-5.0
240;111;AAA064v001;pc-5.0
241;111;AAA065v001;pc-5.0
242;111;AAA066v001;pc-5.0
243;111;AAA270v001;pc-5.0
244;112;AAA025v001;pc-5.0
245;112;AAA069v001;pc-5.0
246;112;AAA072v001;pc-5.0
247;112;AAA077v001;pc-5.0
248;112;AAA078v001;pc-5.0
249;112;AAA080v001;pc-5.0
250;112;AAA081v001;pc-5.0
251;112;AAA270v001;pc-5.0
252;112;AAC700v001;pc-5.0
253;112;EAA304v001;pc-5.0
254;112;EAA660v001;pc-5.0
255;112;EAB879v001;pc-5.0
256;118;AAA045v001;pc-5.0
257;118;AAA046v001;pc-5.0
258;118;AAA047v001;pc-5.0
259;118;AAA068v001;pc-5.0
260;118;AAA270v001;pc-5.0
261;123;AAA045v001;pc-5.0
262;123;AAA046v001;pc-5.0
263;123;AAA047v001;pc-5.0
264;123;AAA270v001;pc-5.0
265;123;AAE031v001;pc-5.0
266;123;EAB882v001;pc-5.0
268;128;AAA068v001;pc-5.0
269;128;AAA270v001;pc-5.0
270;128;AAC700v001;pc-5.0
271;128;AAC967v001;pc-5.0
272;128;AAC982v001;pc-5.0
273;128;AAD770v001;pc-5.0
274;128;EAB878v001;pc-5.0
275;128;EAB880v001;pc-5.0
276;128;EAB881v001;pc-5.0
277;130;AAA270v001;pc-5.0
278;130;AAC748v001;pc-5.0
279;130;EAA608v001;pc-5.0
280;130;EAB883v001;pc-5.0
281;130;EAB884v001;pc-5.0
282;130;EAB885v001;pc-5.0
283;130;EAB886v001;pc-5.0
284;130;EAB887v001;pc-5.0
285;131;AAA042v001;pc-5.0
286;131;AAA043v001;pc-5.0
287;131;AAA044v001;pc-5.0
288;131;AAA067v001;pc-5.0
289;131;AAA073v001;pc-5.0
290;131;AAA077v001;pc-5.0
291;131;AAA270v001;pc-5.0
292;131;EAB892v001;pc-5.0
293;131;EAB893v001;pc-5.0
294;131;EAB894v001;pc-5.0
295;131;EAB895v001;pc-5.0
296;131;EAB896v001;pc-5.0
297;133;AAA045v001;pc-5.0
298;133;AAA046v001;pc-5.0
299;133;AAA047v001;pc-5.0
300;133;AAA270v001;pc-5.0
301;133;EAB890v001;pc-5.0
302;133;EAB891v001;pc-5.0
303;134;AAA048v001;pc-5.0
304;134;AAA050v001;pc-5.0
305;134;AAA051v001;pc-5.0
306;134;AAA175v001;pc-5.0
307;134;AAA270v001;pc-5.0
308;136;AAA270v001;pc-5.0
309;136;AAB582v001;pc-5.0
310;136;AAB583v001;pc-5.0
311;136;AAB584v001;pc-5.0
312;142;AAA082v001;pc-5.0
313;142;AAA083v001;pc-5.0
314;142;AAA270v001;pc-5.0
315;147;AAA044v001;pc-5.0
316;147;AAA067v001;pc-5.0
317;147;AAA077v001;pc-5.0
318;147;AAA109v001;pc-5.0
319;147;AAA270v001;pc-5.0
320;147;AAA449v001;pc-5.0
321;147;AAA450v001;pc-5.0
322;147;AAC053v001;pc-5.0
323;147;EAB892v001;pc-5.0
324;147;EAB894v001;pc-5.0
325;147;EAB896v001;pc-5.0
326;147;EAB900v001;pc-5.0
327;147;EAB901v001;pc-5.0
328;147;EAB902v001;pc-5.0
329;149;AAA017v001;pc-5.0
330;149;AAA041v001;pc-5.0
331;149;AAA270v001;pc-5.0
332;149;AAA448v001;pc-5.0
333;150;AAA045v001;pc-5.0
334;150;AAA046v001;pc-5.0
335;150;AAA047v001;pc-5.0
336;150;AAA270v001;pc-5.0
337;150;EAB890v001;pc-5.0
338;150;EAB899v001;pc-5.0
339;151;AAA048v001;pc-5.0
340;151;AAA050v001;pc-5.0
341;151;AAA051v001;pc-5.0
342;151;AAA175v001;pc-5.0
343;151;AAA270v001;pc-5.0
344;153;AAA270v001;pc-5.0
345;153;AAB754v001;pc-5.0
346;153;AAB771v001;pc-5.0
347;153;AAB798v001;pc-5.0
348;153;AAD047v001;pc-5.0
349;153;AAD048v001;pc-5.0
350;153;AAD049v001;pc-5.0
351;153;AAD050v001;pc-5.0
352;153;AAD051v001;pc-5.0
353;153;AAD052v001;pc-5.0
354;153;AAD053v001;pc-5.0
355;153;AAD054v001;pc-5.0
356;153;AAD055v001;pc-5.0
357;153;EAB903v001;pc-5.0
358;153;EAB904v001;pc-5.0
359;153;EAB905v001;pc-5.0
360;153;EAB906v001;pc-5.0
361;153;EAB907v001;pc-5.0
362;153;EAB908v001;pc-5.0
363;155;AAA270v001;pc-5.0
364;155;AAB582v001;pc-5.0
365;155;AAB583v001;pc-5.0
366;155;AAB584v001;pc-5.0
367;156;AAA270v001;pc-5.0
368;156;EAB897v001;pc-5.0
369;156;EAB898v001;pc-5.0
370;157;AAA045v001;pc-5.0
371;157;AAA046v001;pc-5.0
372;157;AAA047v001;pc-5.0
373;157;AAA270v001;pc-5.0
374;164;AAA028v001;pc-5.0
375;164;AAA067v001;pc-5.0
376;164;AAA071v001;pc-5.0
377;164;AAA270v001;pc-5.0
378;166;AAA270v001;pc-5.0
379;166;AAA793v001;pc-5.0
380;166;AAB001v001;pc-5.0
381;166;AAB002v001;pc-5.0
382;167;AAA008v001;pc-5.0
383;167;AAA270v001;pc-5.0
384;167;AAB003v001;pc-5.0
385;167;AAB004v001;pc-5.0
386;167;AAB005v001;pc-5.0
387;167;AAB006v001;pc-5.0
388;167;AAB007v001;pc-5.0
389;167;AAB008v001;pc-5.0
390;167;AAE153v001;pc-5.0
391;169;AAA028v001;pc-5.0
392;169;AAA071v001;pc-5.0
393;169;AAA270v001;pc-5.0
394;172;AAA094v001;pc-5.0
395;172;AAA095v001;pc-5.0
396;172;AAA270v001;pc-5.0
397;172;AAA889v001;pc-5.0
398;172;AAA890v001;pc-5.0
399;173;AAA270v001;pc-5.0
400;173;AAA887v001;pc-5.0
401;173;AAA888v001;pc-5.0
402;175;AAA270v001;pc-5.0
403;175;AAA885v001;pc-5.0
404;175;AAA886v001;pc-5.0
405;176;AAA270v001;pc-5.0
406;176;AAA891v001;pc-5.0
407;176;AAA892v001;pc-5.0
408;177;AAA067v001;pc-5.0
409;177;AAA071v001;pc-5.0
410;177;AAA270v001;pc-5.0
411;180;AAA104v001;pc-5.0
412;180;AAA270v001;pc-5.0
413;180;AAE217v001;pc-5.0
414;181;AAA099v001;pc-5.0
415;181;AAA103v001;pc-5.0
416;181;AAA270v001;pc-5.0
417;185;AAA093v001;pc-5.0
418;185;AAA270v001;pc-5.0
419;185;AAC021v001;pc-5.0
420;186;AAA067v001;pc-5.0
421;186;AAA071v001;pc-5.0
422;186;AAA107v001;pc-5.0
423;186;AAA270v001;pc-5.0
424;189;AAA094v001;pc-5.0
425;189;AAA106v001;pc-5.0
426;189;AAA270v001;pc-5.0
427;190;AAA097v001;pc-5.0
428;190;AAA098v001;pc-5.0
429;190;AAA108v001;pc-5.0
430;190;AAA270v001;pc-5.0
431;191;AAA101v001;pc-5.0
432;191;AAA270v001;pc-5.0
433;196;AAA067v001;pc-5.0
434;196;AAA071v001;pc-5.0
435;196;AAA270v001;pc-5.0
436;196;AAE216v001;pc-5.0
437;202;AAA092v001;pc-5.0
438;202;AAA270v001;pc-5.0
439;202;AAC021v001;pc-5.0
440;203;AAA067v001;pc-5.0
441;203;AAA071v001;pc-5.0
442;203;AAA107v001;pc-5.0
443;203;AAA270v001;pc-5.0
444;203;AAE216v001;pc-5.0
445;208;AAA092v001;pc-5.0
446;208;AAA270v001;pc-5.0
447;208;AAC021v001;pc-5.0
448;210;AAA067v001;pc-5.0
449;210;AAA107v001;pc-5.0
450;210;AAA270v001;pc-5.0
451;210;AAA411v001;pc-5.0
452;210;AAA596v001;pc-5.0
453;216;AAA008v001;pc-5.0
454;216;AAA270v001;pc-5.0
455;216;AAA927v001;pc-5.0
456;217;AAA067v001;pc-5.0
457;217;AAA071v001;pc-5.0
458;217;AAA090v001;pc-5.0
459;217;AAA107v001;pc-5.0
460;217;AAA270v001;pc-5.0
461;217;AAA726v001;pc-5.0
462;219;AAA102v001;pc-5.0
463;219;AAA259v001;pc-5.0
464;219;AAA270v001;pc-5.0
465;219;AAD565v001;pc-5.0
466;226;AAA008v001;pc-5.0
467;226;AAA270v001;pc-5.0
468;226;AAA693v001;pc-5.0
469;228;AAA067v001;pc-5.0
470;228;AAA071v001;pc-5.0
471;228;AAA090v001;pc-5.0
472;228;AAA107v001;pc-5.0
473;228;AAA112v001;pc-5.0
474;228;AAA113v001;pc-5.0
475;228;AAA270v001;pc-5.0
476;230;AAA110v001;pc-5.0
477;230;AAA111v001;pc-5.0
478;230;AAA270v001;pc-5.0
479;235;AAA008v001;pc-5.0
480;235;AAA270v001;pc-5.0
481;235;AAA741v001;pc-5.0
482;235;AAA742v001;pc-5.0
483;237;AAA067v001;pc-5.0
484;237;AAA109v001;pc-5.0
485;237;AAA270v001;pc-5.0
486;240;AAA110v001;pc-5.0
487;240;AAA111v001;pc-5.0
488;240;AAA114v001;pc-5.0
489;240;AAA270v001;pc-5.0
490;244;AAA067v001;pc-5.0
491;244;AAA071v001;pc-5.0
492;244;AAA090v001;pc-5.0
493;244;AAA107v001;pc-5.0
494;244;AAA113v001;pc-5.0
495;244;AAA124v001;pc-5.0
496;244;AAA270v001;pc-5.0
497;244;AAA406v001;pc-5.0
498;244;AAA407v001;pc-5.0
499;244;AAA408v001;pc-5.0
500;244;AAA409v001;pc-5.0
501;246;AAA115v001;pc-5.0
502;246;AAA116v001;pc-5.0
503;246;AAA270v001;pc-5.0
504;247;AAA094v001;pc-5.0
505;247;AAA270v001;pc-5.0
506;247;AAD045v001;pc-5.0
507;249;AAA011v001;pc-5.0
508;249;AAA110v001;pc-5.0
509;249;AAA270v001;pc-5.0
510;253;AAA117v001;pc-5.0
511;253;AAA118v001;pc-5.0
512;253;AAA270v001;pc-5.0
513;255;AAA247v001;pc-5.0
514;255;AAA248v001;pc-5.0
515;255;AAA270v001;pc-5.0
516;255;AAA393v001;pc-5.0
517;255;AAA394v001;pc-5.0
518;255;AAA410v001;pc-5.0
519;260;AAA094v001;pc-5.0
520;260;AAA119v001;pc-5.0
521;260;AAA120v001;pc-5.0
522;260;AAA121v001;pc-5.0
523;260;AAA122v001;pc-5.0
524;260;AAA270v001;pc-5.0
525;262;AAA008v001;pc-5.0
526;262;AAA270v001;pc-5.0
527;262;AAE156v001;pc-5.0
528;262;AAE157v001;pc-5.0
529;262;AAE158v001;pc-5.0
530;262;AAE159v001;pc-5.0
531;262;AAE160v001;pc-5.0
532;262;AAE161v001;pc-5.0
533;262;AAE162v001;pc-5.0
535;267;AAA071v001;pc-5.0
536;267;AAA090v001;pc-5.0
537;267;AAA107v001;pc-5.0
538;267;AAA270v001;pc-5.0
539;267;AAA558v001;pc-5.0
540;270;AAA067v001;pc-5.0
541;270;AAA071v001;pc-5.0
542;270;AAA270v001;pc-5.0
543;272;AAA110v001;pc-5.0
544;272;AAA111v001;pc-5.0
545;272;AAA270v001;pc-5.0
546;277;AAA008v001;pc-5.0
547;277;AAA270v001;pc-5.0
548;277;AAE113v001;pc-5.0
549;277;AAE133v001;pc-5.0
550;280;AAA071v001;pc-5.0
551;280;AAA090v001;pc-5.0
552;280;AAA270v001;pc-5.0
553;280;AAA738v001;pc-5.0
554;282;AAA008v001;pc-5.0
555;282;AAA270v001;pc-5.0
556;282;AAA737v001;pc-5.0
557;283;AAA071v001;pc-5.0
558;283;AAA107v001;pc-5.0
559;283;AAA270v001;pc-5.0
560;283;AAA726v001;pc-5.0
561;285;AAA270v001;pc-5.0
562;285;AAA735v001;pc-5.0
563;285;AAA736v001;pc-5.0
564;286;AAA008v001;pc-5.0
565;286;AAA270v001;pc-5.0
566;286;AAA733v001;pc-5.0
567;286;AAA734v001;pc-5.0
568;286;AAE143v001;pc-5.0
569;286;AAE144v001;pc-5.0
570;288;AAA071v001;pc-5.0
571;288;AAA090v001;pc-5.0
572;288;AAA270v001;pc-5.0
573;290;AAA008v001;pc-5.0
574;290;AAA270v001;pc-5.0
575;290;AAA739v001;pc-5.0
576;291;AAA107v001;pc-5.0
577;291;AAA109v001;pc-5.0
578;291;AAA270v001;pc-5.0
579;291;AAA406v001;pc-5.0
580;291;AAA729v001;pc-5.0
581;292;AAA270v001;pc-5.0
582;292;AAA727v001;pc-5.0
583;292;AAA732v001;pc-5.0
584;293;AAA008v001;pc-5.0
585;293;AAA270v001;pc-5.0
586;293;AAA730v001;pc-5.0
587;293;AAA731v001;pc-5.0
588;293;AAE121v001;pc-5.0
589;293;AAE140v001;pc-5.0
590;293;AAE141v001;pc-5.0
591;295;AAA067v001;pc-5.0
