KlasseMerkmal_Nr;Klasse_ID;Merkmal_ID;Einheit_ID;Sortier_Nr;Mussmerkmal;Klassifikationssystem_ID
22362;AAA000c004;AAA002f001;AAA001u001;1;TRUE;pc-6.1
22363;AAA000c004;AAD148f001;;2;TRUE;pc-6.1
22364;AAA000c004;AAD149f001;;3;TRUE;pc-6.1
22365;AAA000c004;AAD146f001;AAA003u001;4;TRUE;pc-6.1
22366;AAA000c004;AAD147f001;AAA003u001;5;TRUE;pc-6.1
22367;AAA000c004;AAB322f001;;6;TRUE;pc-6.1
22368;AAA000c004;AAD139f001;;7;TRUE;pc-6.1
22369;AAA000c004;AAD140f001;;8;TRUE;pc-6.1
22370;AAA000c004;AAD144f001;;9;FALSE;pc-6.1
22371;AAA000c004;AAA000f001;;10;TRUE;pc-6.1
22372;AAA000c004;AAA003f001;AAA002u001;11;TRUE;pc-6.1
22353;AAA002c003;AAA002f001;AAA001u001;1;TRUE;pc-6.1
22354;AAA002c003;AAD146f001;AAA003u001;2;TRUE;pc-6.1
22355;AAA002c003;AAD147f001;AAA003u001;3;TRUE;pc-6.1
22356;AAA002c003;AAB322f001;;4;TRUE;pc-6.1
22357;AAA002c003;AAD139f001;;5;TRUE;pc-6.1
22358;AAA002c003;AAD140f001;;6;TRUE;pc-6.1
22359;AAA002c003;AAD144f001;;7;FALSE;pc-6.1
22360;AAA002c003;AAA000f001;;8;TRUE;pc-6.1
22361;AAA002c003;AAA003f001;AAA002u001;9;TRUE;pc-6.1
22143;AAA004c004;AAA702f001;;1;TRUE;pc-6.1
22144;AAA004c004;AAA002f001;AAA001u001;2;TRUE;pc-6.1
22145;AAA004c004;AAB322f001;;3;TRUE;pc-6.1
22146;AAA004c004;AAD139f001;;4;TRUE;pc-6.1
22147;AAA004c004;AAA833f001;;5;TRUE;pc-6.1
22148;AAA004c004;AAD140f001;;6;TRUE;pc-6.1
22149;AAA004c004;AAD144f001;;7;TRUE;pc-6.1
22150;AAA004c004;AAA000f001;;8;TRUE;pc-6.1
