KlasseMerkmalWert_Nr;KlasseMerkmal_Nr;Wert_ID;Sortier_Nr Wert_de;Klassifikationssystem_ID
54285;25406;AAA052v001;3;pc-6.1
54286;25406;AAA270v001;4;pc-6.1
54287;25414;AAA055v001;1;pc-6.1
54288;25414;AAA056v001;2;pc-6.1
54289;25414;AAA270v001;3;pc-6.1
54290;25422;AAA046v001;1;pc-6.1
54291;25422;AAA178v001;2;pc-6.1
54292;25422;AAA047v001;3;pc-6.1
54293;25422;AAA045v001;4;pc-6.1
54294;25422;AAA270v001;5;pc-6.1
54295;25425;AAA180v001;1;pc-6.1
54296;25425;AAA062v001;2;pc-6.1
54297;25425;AAA063v001;3;pc-6.1
54298;25425;AAA179v001;4;pc-6.1
54299;25425;AAA270v001;5;pc-6.1
54300;25426;EAB876v001;1;pc-6.1
54301;25426;EAB877v001;2;pc-6.1
54302;25426;AAA057v001;3;pc-6.1
54303;25426;EAB875v001;4;pc-6.1
54304;25426;AAA270v001;5;pc-6.1
54305;25427;AAA085v001;1;pc-6.1
54306;25427;AAA084v001;2;pc-6.1
54307;25427;AAA128v001;3;pc-6.1
54308;25427;AAA270v001;4;pc-6.1
54309;25429;AAA046v001;1;pc-6.1
54310;25429;AAA047v001;2;pc-6.1
54311;25429;AAA270v001;3;pc-6.1
54312;25431;AAA072v001;1;pc-6.1
54313;25431;AAA069v001;2;pc-6.1
54314;25431;AAA025v001;3;pc-6.1
54315;25431;AAC700v001;4;pc-6.1
54316;25431;AAA078v001;5;pc-6.1
54317;25431;AAA077v001;6;pc-6.1
54318;25431;AAA270v001;7;pc-6.1
54346;25485;AAA046v001;1;pc-6.1
54347;25485;AAA178v001;2;pc-6.1
54348;25485;AAA177v001;3;pc-6.1
54349;25485;AAA047v001;4;pc-6.1
54350;25485;AAA045v001;5;pc-6.1
54351;25485;AAA270v001;6;pc-6.1
54352;25487;AAA180v001;1;pc-6.1
54353;25487;AAA062v001;2;pc-6.1
54354;25487;AAA181v001;3;pc-6.1
54355;25487;AAA063v001;4;pc-6.1
54356;25487;AAA179v001;5;pc-6.1
54357;25487;AAA270v001;6;pc-6.1
54358;25488;AAA065v001;1;pc-6.1
54359;25488;AAA066v001;2;pc-6.1
54360;25488;AAA064v001;3;pc-6.1
54361;25488;AAA270v001;4;pc-6.1
54362;25492;AAA448v001;1;pc-6.1
54363;25492;AAB237v001;2;pc-6.1
54364;25492;AAA270v001;3;pc-6.1
54365;25496;AAA182v001;1;pc-6.1
54366;25496;AAA046v001;2;pc-6.1
54367;25496;AAA047v001;3;pc-6.1
54368;25496;AAA270v001;4;pc-6.1
54369;25498;AAA074v001;1;pc-6.1
54370;25498;AAA075v001;2;pc-6.1
54371;25498;AAA270v001;3;pc-6.1
54372;25499;AAA180v001;1;pc-6.1
54373;25499;AAA062v001;2;pc-6.1
54374;25499;AAA063v001;3;pc-6.1
54375;25499;AAA179v001;4;pc-6.1
54376;25499;EAB878v001;5;pc-6.1
54377;25499;AAA270v001;6;pc-6.1
54378;25500;AAA065v001;1;pc-6.1
54379;25500;AAA066v001;2;pc-6.1
54380;25500;AAA064v001;3;pc-6.1
54381;25500;AAA270v001;4;pc-6.1
54382;25501;EAA304v001;1;pc-6.1
54383;25501;AAA072v001;2;pc-6.1
54384;25501;AAA069v001;3;pc-6.1
54385;25501;AAA025v001;4;pc-6.1
54386;25501;AAA080v001;5;pc-6.1
54387;25501;EAB879v001;6;pc-6.1
54388;25501;AAC700v001;7;pc-6.1
54389;25501;AAA078v001;8;pc-6.1
54390;25501;EAA660v001;9;pc-6.1
54391;25501;AAA081v001;10;pc-6.1
54392;25501;AAA077v001;11;pc-6.1
54393;25501;AAA270v001;12;pc-6.1
54430;25549;AAA068v001;1;pc-6.1
54431;25549;AAA046v001;2;pc-6.1
54432;25549;AAA047v001;3;pc-6.1
54433;25549;AAA045v001;4;pc-6.1
54434;25549;AAA270v001;5;pc-6.1
54447;25579;EAB881v001;1;pc-6.1
54448;25579;AAA068v001;2;pc-6.1
54449;25579;EAB880v001;3;pc-6.1
54450;25579;AAC700v001;4;pc-6.1
54451;25579;AAC982v001;5;pc-6.1
54452;25579;AAD770v001;6;pc-6.1
54453;25579;AAC967v001;7;pc-6.1
54454;25579;EAB878v001;8;pc-6.1
54455;25579;AAA270v001;9;pc-6.1
54456;25580;EAB882v001;1;pc-6.1
54457;25580;AAE031v001;2;pc-6.1
54458;25580;AAA046v001;3;pc-6.1
54459;25580;AAA047v001;4;pc-6.1
54460;25580;AAA045v001;5;pc-6.1
54461;25580;AAA270v001;6;pc-6.1
54462;25584;EAE198v001;1;pc-6.1
54463;25584;EAE199v001;2;pc-6.1
54464;25584;AAA270v001;3;pc-6.1
54465;25585;EAB886v001;1;pc-6.1
54466;25585;EAA608v001;2;pc-6.1
54467;25585;EAB885v001;3;pc-6.1
54468;25585;EAB887v001;4;pc-6.1
54469;25585;EAB884v001;5;pc-6.1
54470;25585;EAB883v001;6;pc-6.1
54471;25585;AAC748v001;7;pc-6.1
54472;25585;AAA270v001;8;pc-6.1
54473;25589;AAA046v001;1;pc-6.1
54474;25589;EAB891v001;2;pc-6.1
54475;25589;AAA047v001;3;pc-6.1
54476;25589;EAB890v001;4;pc-6.1
54477;25589;AAA045v001;5;pc-6.1
54478;25589;AAA270v001;6;pc-6.1
54479;25590;AAA044v001;1;pc-6.1
54480;25590;EAB894v001;2;pc-6.1
54481;25590;AAA073v001;3;pc-6.1
54482;25590;EAB896v001;4;pc-6.1
54483;25590;EAB895v001;5;pc-6.1
54484;25590;AAA042v001;6;pc-6.1
54485;25590;AAA043v001;7;pc-6.1
54486;25590;AAA067v001;8;pc-6.1
54487;25590;EAB892v001;9;pc-6.1
54488;25590;EAB893v001;10;pc-6.1
54489;25590;AAA077v001;11;pc-6.1
54490;25590;AAA270v001;12;pc-6.1
54491;25591;AAA175v001;1;pc-6.1
54492;25591;AAA050v001;2;pc-6.1
54493;25591;AAA048v001;3;pc-6.1
54494;25591;AAA051v001;4;pc-6.1
54495;25591;AAA270v001;5;pc-6.1
54496;25594;AAB584v001;1;pc-6.1
54497;25594;AAB583v001;2;pc-6.1
54498;25594;AAB582v001;3;pc-6.1
54499;25594;AAA270v001;4;pc-6.1
54500;25608;AAA082v001;1;pc-6.1
54501;25608;AAA083v001;2;pc-6.1
54502;25608;AAA270v001;3;pc-6.1
54503;25615;AAA046v001;1;pc-6.1
54504;25615;EAB899v001;2;pc-6.1
54505;25615;AAA047v001;3;pc-6.1
54506;25615;EAB890v001;4;pc-6.1
54507;25615;AAA045v001;5;pc-6.1
54508;25615;AAA270v001;6;pc-6.1
54509;25616;AAA044v001;1;pc-6.1
54510;25616;EAB894v001;2;pc-6.1
54511;25616;AAA109v001;3;pc-6.1
54512;25616;AAA449v001;4;pc-6.1
54513;25616;AAC053v001;5;pc-6.1
54514;25616;EAB896v001;6;pc-6.1
54515;25616;EAB902v001;7;pc-6.1
54516;25616;AAA450v001;8;pc-6.1
54517;25616;AAA067v001;9;pc-6.1
54518;25616;EAB892v001;10;pc-6.1
54519;25616;EAB900v001;11;pc-6.1
54520;25616;EAB901v001;12;pc-6.1
54521;25616;AAA077v001;13;pc-6.1
54522;25616;AAA270v001;14;pc-6.1
54523;25618;AAA041v001;1;pc-6.1
54524;25618;AAA017v001;2;pc-6.1
54525;25618;AAA448v001;3;pc-6.1
54526;25618;AAA270v001;4;pc-6.1
54527;25619;AAA175v001;1;pc-6.1
54528;25619;AAA050v001;2;pc-6.1
54529;25619;AAA048v001;3;pc-6.1
54530;25619;AAA051v001;4;pc-6.1
54531;25619;AAA270v001;5;pc-6.1
54532;25621;AAB798v001;1;pc-6.1
54533;25621;EAB903v001;2;pc-6.1
54534;25621;AAB754v001;3;pc-6.1
54535;25621;AAB771v001;4;pc-6.1
54536;25621;AAD048v001;5;pc-6.1
54537;25621;EAB905v001;6;pc-6.1
54538;25621;EAB904v001;7;pc-6.1
54539;25621;EAB906v001;8;pc-6.1
54540;25621;EAB907v001;9;pc-6.1
54541;25621;EAB908v001;10;pc-6.1
54542;25621;AAD047v001;11;pc-6.1
54543;25621;AAD049v001;12;pc-6.1
54544;25621;AAD050v001;13;pc-6.1
54545;25621;AAD052v001;14;pc-6.1
54546;25621;AAD053v001;15;pc-6.1
54547;25621;AAD051v001;16;pc-6.1
54548;25621;AAD054v001;17;pc-6.1
54549;25621;AAD055v001;18;pc-6.1
54550;25621;AAA270v001;19;pc-6.1
54551;25623;AAB584v001;1;pc-6.1
54552;25623;AAB583v001;2;pc-6.1
54553;25623;AAB582v001;3;pc-6.1
54554;25623;AAA270v001;4;pc-6.1
54555;25624;EAB897v001;1;pc-6.1
54556;25624;EAB898v001;2;pc-6.1
54557;25624;AAA270v001;3;pc-6.1
54558;25641;AAA046v001;1;pc-6.1
54559;25641;AAA047v001;2;pc-6.1
54560;25641;AAA045v001;3;pc-6.1
54561;25641;AAA270v001;4;pc-6.1
37984;15285;AAA793v001;1;pc-6.1
37985;15285;AAB001v001;2;pc-6.1
37986;15285;AAB002v001;3;pc-6.1
37987;15285;AAA270v001;4;pc-6.1
37988;15287;AAB003v001;1;pc-6.1
37989;15287;AAB004v001;2;pc-6.1
37990;15287;AAB005v001;3;pc-6.1
37991;15287;AAE153v001;4;pc-6.1
37992;15287;AAB006v001;5;pc-6.1
37993;15287;AAB007v001;6;pc-6.1
37994;15287;AAB008v001;7;pc-6.1
37995;15287;AAA270v001;8;pc-6.1
37996;15287;AAA008v001;9;pc-6.1
37997;15288;AAA071v001;1;pc-6.1
37998;15288;AAA067v001;2;pc-6.1
37999;15288;AAA028v001;3;pc-6.1
38000;15288;AAA270v001;4;pc-6.1
36734;14488;AAA885v001;1;pc-6.1
36735;14488;AAA886v001;2;pc-6.1
36736;14488;AAA270v001;3;pc-6.1
36737;14489;AAA887v001;1;pc-6.1
36738;14489;AAA888v001;2;pc-6.1
36739;14489;AAA270v001;3;pc-6.1
36740;14491;AAA889v001;1;pc-6.1
36741;14491;AAA890v001;2;pc-6.1
36742;14491;AAA095v001;3;pc-6.1
36743;14491;AAA094v001;4;pc-6.1
36744;14491;AAA270v001;5;pc-6.1
36745;14492;AAA891v001;1;pc-6.1
36746;14492;AAA892v001;2;pc-6.1
36747;14492;AAA270v001;3;pc-6.1
36748;14495;AAA071v001;1;pc-6.1
36749;14495;AAA028v001;2;pc-6.1
36750;14495;AAA270v001;3;pc-6.1
36813;14558;AAC021v001;1;pc-6.1
36814;14558;AAA093v001;2;pc-6.1
36815;14558;AAA270v001;3;pc-6.1
36816;14562;AAA071v001;1;pc-6.1
36817;14562;AAA067v001;2;pc-6.1
36818;14562;AAA270v001;3;pc-6.1
36819;14563;AAA099v001;1;pc-6.1
36820;14563;AAA103v001;2;pc-6.1
36821;14563;AAA270v001;3;pc-6.1
36822;14564;AAA104v001;1;pc-6.1
36823;14564;AAE217v001;2;pc-6.1
36824;14564;AAA270v001;3;pc-6.1
36668;14448;AAA106v001;1;pc-6.1
36669;14448;AAA094v001;2;pc-6.1
36670;14448;AAA270v001;3;pc-6.1
36671;14449;AAA097v001;1;pc-6.1
36672;14449;AAA098v001;2;pc-6.1
36673;14449;AAA108v001;3;pc-6.1
36674;14449;AAA270v001;4;pc-6.1
36675;14452;AAA101v001;1;pc-6.1
36676;14452;AAA270v001;2;pc-6.1
36677;14455;AAA071v001;1;pc-6.1
36678;14455;AAA107v001;2;pc-6.1
36679;14455;AAA067v001;3;pc-6.1
36680;14455;AAA270v001;4;pc-6.1
36806;14549;AAA071v001;1;pc-6.1
36807;14549;AAA067v001;2;pc-6.1
36808;14549;AAE216v001;3;pc-6.1
36809;14549;AAA270v001;4;pc-6.1
36810;14550;AAA092v001;1;pc-6.1
36811;14550;AAC021v001;2;pc-6.1
36812;14550;AAA270v001;3;pc-6.1
36798;14542;AAA071v001;1;pc-6.1
36799;14542;AAA107v001;2;pc-6.1
36800;14542;AAA067v001;3;pc-6.1
36801;14542;AAE216v001;4;pc-6.1
36802;14542;AAA270v001;5;pc-6.1
36803;14543;AAA092v001;1;pc-6.1
36804;14543;AAC021v001;2;pc-6.1
36805;14543;AAA270v001;3;pc-6.1
36573;14376;AAA411v001;1;pc-6.1
36574;14376;AAA107v001;2;pc-6.1
36575;14376;AAA067v001;3;pc-6.1
36576;14376;AAA596v001;4;pc-6.1
36577;14376;AAA270v001;5;pc-6.1
36578;14382;AAA927v001;1;pc-6.1
36579;14382;AAA270v001;2;pc-6.1
36580;14382;AAA008v001;3;pc-6.1
36655;14436;AAA693v001;1;pc-6.1
36656;14436;AAA270v001;2;pc-6.1
36657;14436;AAA008v001;3;pc-6.1
36658;14438;AAA259v001;1;pc-6.1
36659;14438;AAD565v001;2;pc-6.1
36660;14438;AAA102v001;3;pc-6.1
36661;14438;AAA270v001;4;pc-6.1
36662;14445;AAA071v001;1;pc-6.1
36663;14445;AAA090v001;2;pc-6.1
36664;14445;AAA107v001;3;pc-6.1
36665;14445;AAA067v001;4;pc-6.1
36666;14445;AAA726v001;5;pc-6.1
36667;14445;AAA270v001;6;pc-6.1
36348;14260;AAA111v001;1;pc-6.1
36349;14260;AAA110v001;2;pc-6.1
36350;14260;AAA270v001;3;pc-6.1
36351;14267;AAA112v001;1;pc-6.1
36352;14267;AAA071v001;2;pc-6.1
36353;14267;AAA090v001;3;pc-6.1
36354;14267;AAA107v001;4;pc-6.1
36355;14267;AAA113v001;5;pc-6.1
36356;14267;AAA067v001;6;pc-6.1
36357;14267;AAA270v001;7;pc-6.1
36358;14268;AAA741v001;1;pc-6.1
36359;14268;AAA742v001;2;pc-6.1
36360;14268;AAA270v001;3;pc-6.1
36361;14268;AAA008v001;4;pc-6.1
36537;14341;AAA109v001;1;pc-6.1
36538;14341;AAA067v001;2;pc-6.1
36539;14341;AAA270v001;3;pc-6.1
36540;14343;AAA114v001;1;pc-6.1
36541;14343;AAA111v001;2;pc-6.1
36542;14343;AAA110v001;3;pc-6.1
36543;14343;AAA270v001;4;pc-6.1
36176;14147;AAA071v001;1;pc-6.1
36177;14147;AAA090v001;2;pc-6.1
36178;14147;AAA107v001;3;pc-6.1
36179;14147;AAA113v001;4;pc-6.1
36180;14147;AAA124v001;5;pc-6.1
36181;14147;AAA067v001;6;pc-6.1
36182;14147;AAA406v001;7;pc-6.1
36183;14147;AAA409v001;8;pc-6.1
36184;14147;AAA407v001;9;pc-6.1
36185;14147;AAA408v001;10;pc-6.1
36186;14147;AAA270v001;11;pc-6.1
36187;14148;AAA011v001;1;pc-6.1
36188;14148;AAA110v001;2;pc-6.1
36189;14148;AAA270v001;3;pc-6.1
36190;14153;AAA393v001;1;pc-6.1
36191;14153;AAA394v001;2;pc-6.1
36192;14153;AAA410v001;3;pc-6.1
36193;14153;AAA247v001;4;pc-6.1
36194;14153;AAA248v001;5;pc-6.1
36195;14153;AAA270v001;6;pc-6.1
36196;14155;AAD045v001;1;pc-6.1
36197;14155;AAA094v001;2;pc-6.1
36198;14155;AAA270v001;3;pc-6.1
36199;14156;AAA116v001;1;pc-6.1
36200;14156;AAA115v001;2;pc-6.1
36201;14156;AAA270v001;3;pc-6.1
36202;14157;AAA118v001;1;pc-6.1
36203;14157;AAA117v001;2;pc-6.1
36204;14157;AAA270v001;3;pc-6.1
37673;15001;AAA119v001;1;pc-6.1
37674;15001;AAA120v001;2;pc-6.1
37675;15001;AAA094v001;3;pc-6.1
37676;15001;AAA122v001;4;pc-6.1
37677;15001;AAA121v001;5;pc-6.1
37678;15001;AAA270v001;6;pc-6.1
37679;15004;AAE156v001;1;pc-6.1
37680;15004;AAE157v001;2;pc-6.1
37681;15004;AAE158v001;3;pc-6.1
37682;15004;AAE159v001;4;pc-6.1
37683;15004;AAE160v001;5;pc-6.1
37684;15004;AAE161v001;6;pc-6.1
37685;15004;AAE162v001;7;pc-6.1
37686;15004;AAA270v001;8;pc-6.1
37687;15004;AAA008v001;9;pc-6.1
37726;15034;AAA067v001;1;pc-6.1
37727;15034;AAA270v001;2;pc-6.1
37728;15035;AAB949v001;1;pc-6.1
37729;15035;AAA270v001;2;pc-6.1
37730;15036;AAA562v001;1;pc-6.1
37731;15036;AAA091v001;2;pc-6.1
37732;15036;AAA270v001;3;pc-6.1
37733;15039;AAA966v001;1;pc-6.1
37734;15039;AAA967v001;2;pc-6.1
37735;15039;AAA011v001;3;pc-6.1
37736;15039;AAC756v001;4;pc-6.1
37737;15039;AAA270v001;5;pc-6.1
55283;26887;EAE211v001;1;pc-6.1
55284;26887;EAE232v001;2;pc-6.1
55285;26887;AAA270v001;3;pc-6.1
36333;14250;AAA071v001;1;pc-6.1
36334;14250;AAA090v001;2;pc-6.1
36335;14250;AAA107v001;3;pc-6.1
36336;14250;AAA558v001;4;pc-6.1
36337;14250;AAA270v001;5;pc-6.1
36428;14313;AAA071v001;1;pc-6.1
36429;14313;AAA067v001;2;pc-6.1
36430;14313;AAA270v001;3;pc-6.1
36431;14317;AAA111v001;1;pc-6.1
36432;14317;AAA110v001;2;pc-6.1
36433;14317;AAA270v001;3;pc-6.1
36434;14321;AAE133v001;1;pc-6.1
36435;14321;AAE113v001;2;pc-6.1
36436;14321;AAA270v001;3;pc-6.1
36437;14321;AAA008v001;4;pc-6.1
36415;14306;AAA737v001;1;pc-6.1
36416;14306;AAA270v001;2;pc-6.1
36417;14306;AAA008v001;3;pc-6.1
36418;14307;AAA071v001;1;pc-6.1
36419;14307;AAA090v001;2;pc-6.1
36420;14307;AAA738v001;3;pc-6.1
36421;14307;AAA270v001;4;pc-6.1
36402;14300;AAA071v001;1;pc-6.1
36403;14300;AAA107v001;2;pc-6.1
36404;14300;AAA726v001;3;pc-6.1
36405;14300;AAA270v001;4;pc-6.1
36406;14301;AAA733v001;1;pc-6.1
36407;14301;AAA734v001;2;pc-6.1
36408;14301;AAE144v001;3;pc-6.1
36409;14301;AAE143v001;4;pc-6.1
36410;14301;AAA270v001;5;pc-6.1
36411;14301;AAA008v001;6;pc-6.1
36412;14303;AAA735v001;1;pc-6.1
36413;14303;AAA736v001;2;pc-6.1
36414;14303;AAA270v001;3;pc-6.1
36422;14308;AAA071v001;1;pc-6.1
36423;14308;AAA090v001;2;pc-6.1
36424;14308;AAA270v001;3;pc-6.1
36425;14310;AAA739v001;1;pc-6.1
36426;14310;AAA270v001;2;pc-6.1
36427;14310;AAA008v001;3;pc-6.1
36371;14284;AAA727v001;1;pc-6.1
36372;14284;AAA732v001;2;pc-6.1
36373;14284;AAA270v001;3;pc-6.1
36374;14285;AAE121v001;1;pc-6.1
36375;14285;AAE141v001;2;pc-6.1
36376;14285;AAA730v001;3;pc-6.1
36377;14285;AAA731v001;4;pc-6.1
36378;14285;AAE140v001;5;pc-6.1
36379;14285;AAA270v001;6;pc-6.1
36380;14285;AAA008v001;7;pc-6.1
36381;14286;AAA109v001;1;pc-6.1
36382;14286;AAA107v001;2;pc-6.1
36383;14286;AAA406v001;3;pc-6.1
36384;14286;AAA729v001;4;pc-6.1
36385;14286;AAA270v001;5;pc-6.1
36519;14333;AAA125v001;1;pc-6.1
36520;14333;AAA126v001;2;pc-6.1
36521;14333;AAA127v001;3;pc-6.1
36522;14333;AAA769v001;4;pc-6.1
36523;14333;AAA771v001;5;pc-6.1
36524;14333;AAA772v001;6;pc-6.1
36525;14333;AAA773v001;7;pc-6.1
36526;14333;AAA770v001;8;pc-6.1
36527;14333;AAA774v001;9;pc-6.1
36528;14333;AAA270v001;10;pc-6.1
36529;14335;AAA775v001;1;pc-6.1
36530;14335;AAA777v001;2;pc-6.1
36531;14335;AAA776v001;3;pc-6.1
36532;14335;AAA270v001;4;pc-6.1
36533;14335;AAA008v001;5;pc-6.1
36534;14336;AAA109v001;1;pc-6.1
36535;14336;AAA067v001;2;pc-6.1
36536;14336;AAA270v001;3;pc-6.1
36368;14280;AAA259v001;1;pc-6.1
36369;14280;AAA105v001;2;pc-6.1
36370;14280;AAA270v001;3;pc-6.1
36389;14296;AAA109v001;1;pc-6.1
36390;14296;AAA067v001;2;pc-6.1
36391;14296;AAA270v001;3;pc-6.1
