KlasseMerkmalWert_Nr;KlasseMerkmal_Nr;Wert_ID;Sortier_Nr Wert_de;Klassifikationssystem_ID
46699;22367;AAE545v001;1;pc-6.1
46700;22367;AAB452v001;2;pc-6.1
46701;22367;AAE544v001;3;pc-6.1
46702;22367;AAA561v001;4;pc-6.1
46703;22367;AAA562v001;5;pc-6.1
46704;22367;AAB079v001;6;pc-6.1
46705;22367;AAA007v001;7;pc-6.1
46706;22367;AAA006v001;8;pc-6.1
46707;22367;AAA270v001;9;pc-6.1
46708;22368;AAE546v001;1;pc-6.1
46709;22368;AAA002v001;2;pc-6.1
46710;22368;AAA562v001;3;pc-6.1
46711;22368;AAB450v001;4;pc-6.1
46712;22368;AAE547v001;5;pc-6.1
46713;22368;AAA270v001;6;pc-6.1
46714;22368;AAA008v001;7;pc-6.1
46715;22371;AAA025v001;1;pc-6.1
46716;22371;AAA067v001;2;pc-6.1
46717;22371;AAE548v001;3;pc-6.1
46718;22371;AAA270v001;4;pc-6.1
46679;22356;AAE545v001;1;pc-6.1
46680;22356;AAB452v001;2;pc-6.1
46681;22356;AAE544v001;3;pc-6.1
46682;22356;AAA561v001;4;pc-6.1
46683;22356;AAA562v001;5;pc-6.1
46684;22356;AAB079v001;6;pc-6.1
46685;22356;AAA007v001;7;pc-6.1
46686;22356;AAA006v001;8;pc-6.1
46687;22356;AAA270v001;9;pc-6.1
46688;22357;AAE546v001;1;pc-6.1
46689;22357;AAA002v001;2;pc-6.1
46690;22357;AAA562v001;3;pc-6.1
46691;22357;AAB450v001;4;pc-6.1
46692;22357;AAE547v001;5;pc-6.1
46693;22357;AAA270v001;6;pc-6.1
46694;22357;AAA008v001;7;pc-6.1
46695;22360;AAA025v001;1;pc-6.1
46696;22360;AAA067v001;2;pc-6.1
46697;22360;AAE548v001;3;pc-6.1
46698;22360;AAA270v001;4;pc-6.1
46140;22143;AAE550v001;1;pc-6.1
46141;22143;AAA270v001;2;pc-6.1
46142;22143;AAA008v001;3;pc-6.1
46143;22145;AAE545v001;1;pc-6.1
46144;22145;AAB452v001;2;pc-6.1
46145;22145;AAE544v001;3;pc-6.1
46146;22145;AAA561v001;4;pc-6.1
46147;22145;AAA562v001;5;pc-6.1
46148;22145;AAB079v001;6;pc-6.1
46149;22145;AAA006v001;7;pc-6.1
46150;22145;AAA270v001;8;pc-6.1
46151;22146;AAE546v001;1;pc-6.1
46152;22146;AAA002v001;2;pc-6.1
46153;22146;AAA562v001;3;pc-6.1
46154;22146;AAB450v001;4;pc-6.1
46155;22146;AAE547v001;5;pc-6.1
46156;22146;AAA270v001;6;pc-6.1
46157;22146;AAA008v001;7;pc-6.1
46158;22150;AAA025v001;1;pc-6.1
46159;22150;AAA067v001;2;pc-6.1
46160;22150;AAA270v001;3;pc-6.1
46161;22151;AAB093v001;1;pc-6.1
46162;22151;AAA017v001;2;pc-6.1
46163;22151;AAA270v001;3;pc-6.1
46311;22206;AAE550v001;1;pc-6.1
46312;22206;AAA270v001;2;pc-6.1
46313;22206;AAA008v001;3;pc-6.1
46314;22208;AAE545v001;1;pc-6.1
46315;22208;AAB452v001;2;pc-6.1
46316;22208;AAE544v001;3;pc-6.1
46317;22208;AAA561v001;4;pc-6.1
46318;22208;AAA562v001;5;pc-6.1
46319;22208;AAB079v001;6;pc-6.1
46320;22208;AAA007v001;7;pc-6.1
46321;22208;AAA006v001;8;pc-6.1
46322;22208;AAA270v001;9;pc-6.1
46323;22209;AAE546v001;1;pc-6.1
46324;22209;AAA002v001;2;pc-6.1
46325;22209;AAA562v001;3;pc-6.1
46326;22209;AAB450v001;4;pc-6.1
46327;22209;AAE547v001;5;pc-6.1
46328;22209;AAA270v001;6;pc-6.1
46329;22209;AAA008v001;7;pc-6.1
46330;22213;AAA025v001;1;pc-6.1
46331;22213;AAA067v001;2;pc-6.1
46332;22213;AAA270v001;3;pc-6.1
46333;22214;AAB093v001;1;pc-6.1
46334;22214;AAA017v001;2;pc-6.1
46335;22214;AAA270v001;3;pc-6.1
46218;22168;AAE556v001;1;pc-6.1
46219;22168;AAA270v001;2;pc-6.1
46220;22168;AAA008v001;3;pc-6.1
46221;22170;AAE545v001;1;pc-6.1
46222;22170;AAB452v001;2;pc-6.1
46223;22170;AAE544v001;3;pc-6.1
46224;22170;AAA561v001;4;pc-6.1
46225;22170;AAA562v001;5;pc-6.1
46226;22170;AAB079v001;6;pc-6.1
46227;22170;AAA007v001;7;pc-6.1
46228;22170;AAA006v001;8;pc-6.1
46229;22170;AAA270v001;9;pc-6.1
46230;22171;AAE546v001;1;pc-6.1
46231;22171;AAA002v001;2;pc-6.1
46232;22171;AAA562v001;3;pc-6.1
46233;22171;AAB450v001;4;pc-6.1
46234;22171;AAE547v001;5;pc-6.1
46235;22171;AAA270v001;6;pc-6.1
46236;22171;AAA008v001;7;pc-6.1
46237;22174;AAA025v001;1;pc-6.1
46238;22174;AAA067v001;2;pc-6.1
46239;22174;AAE548v001;3;pc-6.1
46240;22174;AAA270v001;4;pc-6.1
46241;22175;AAA393v001;1;pc-6.1
46242;22175;AAA394v001;2;pc-6.1
46243;22175;AAA241v001;3;pc-6.1
46244;22175;AAA395v001;4;pc-6.1
46245;22175;AAA245v001;5;pc-6.1
46246;22175;AAA270v001;6;pc-6.1
54230;25378;AAA168v001;1;pc-6.1
54231;25378;EAB865v001;2;pc-6.1
54232;25378;AAA169v001;3;pc-6.1
54233;25378;AAA077v001;4;pc-6.1
54234;25378;AAA270v001;5;pc-6.1
54235;25379;EAB868v001;1;pc-6.1
54236;25379;AAA170v001;2;pc-6.1
54237;25379;EAB867v001;3;pc-6.1
54238;25379;EAB866v001;4;pc-6.1
54239;25379;AAA173v001;5;pc-6.1
54240;25379;AAA171v001;6;pc-6.1
54241;25379;AAA172v001;7;pc-6.1
54242;25379;AAA270v001;8;pc-6.1
54243;25387;AAA046v001;1;pc-6.1
54244;25387;AAA047v001;2;pc-6.1
54245;25387;AAA045v001;3;pc-6.1
54246;25387;AAA270v001;4;pc-6.1
54247;25394;AAA174v001;1;pc-6.1
54248;25394;AAA046v001;2;pc-6.1
54249;25394;AAA047v001;3;pc-6.1
54250;25394;AAA045v001;4;pc-6.1
54251;25394;AAA270v001;5;pc-6.1
54252;25398;AAA044v001;1;pc-6.1
54253;25398;AAA070v001;2;pc-6.1
54254;25398;AAA109v001;3;pc-6.1
54255;25398;AAA073v001;4;pc-6.1
54256;25398;AAA069v001;5;pc-6.1
54257;25398;EAB871v001;6;pc-6.1
54258;25398;AAA025v001;7;pc-6.1
54259;25398;EAB869v001;8;pc-6.1
54260;25398;AAA067v001;9;pc-6.1
54261;25398;EAB870v001;10;pc-6.1
54262;25398;EAB873v001;11;pc-6.1
54263;25398;EAB872v001;12;pc-6.1
54264;25398;AAA270v001;13;pc-6.1
54265;25399;AAA017v001;1;pc-6.1
54266;25399;AAA176v001;2;pc-6.1
54267;25399;AAA068v001;3;pc-6.1
54268;25399;AAA270v001;4;pc-6.1
54269;25400;AAA175v001;1;pc-6.1
54270;25400;AAA050v001;2;pc-6.1
54271;25400;AAA051v001;3;pc-6.1
54272;25400;AAA270v001;4;pc-6.1
54273;25402;EAB874v001;1;pc-6.1
54274;25402;AAA046v001;2;pc-6.1
54275;25402;AAA177v001;3;pc-6.1
54276;25402;AAA047v001;4;pc-6.1
54277;25402;AAA045v001;5;pc-6.1
54278;25402;AAA270v001;6;pc-6.1
54279;25405;AAA175v001;1;pc-6.1
54280;25405;AAA050v001;2;pc-6.1
54281;25405;AAA051v001;3;pc-6.1
54282;25405;AAA270v001;4;pc-6.1
54283;25406;AAA054v001;1;pc-6.1
54284;25406;AAA053v001;2;pc-6.1
