Schlagwort_ID;Schlagwortbezeichnung;Klassifikationssystem_ID
AAN398s001;Vlieswerkzeug mit Schaft;pc-6.1
AAA073s001;Schruppschleifscheiben;pc-6.1
AAA074s001;Schruppscheiben;pc-6.1
AAB488s001;Schruppscheibe;pc-6.1
AAB489s001;Schruppschleifscheibe;pc-6.1
AAA075s001;Stahlspäne;pc-6.1
AAA076s001;Stahlwolle;pc-6.1
AAA077s001;Stahlwolle-Matten;pc-6.1
AAA078s001;Stahlwollematten;pc-6.1
AAB663s001;Stahlwollematte;pc-6.1
AAB664s001;Stahlwolle-Matte;pc-6.1
AAA079s001;Trennschleifscheibe;pc-6.1
AAB514s001;Trennschleifscheiben;pc-6.1
AAA080s001;Walzenrundstifte;pc-6.1
AAB538s001;Walzenrundstift;pc-6.1
AAA081s001;Zylinderstifte;pc-6.1
AAB574s001;Zylinderstift;pc-6.1
AAE043s001;Maschinenelement, Befestigungsmittel;pc-6.1
AAE071s001;Stift, Nagel, Haken;pc-6.1
AAA254s001;Spax;pc-6.1
AAA255s001;Spanplattenschrauben;pc-6.1
AAB613s001;Holzschraube;pc-6.1
AAB661s001;Spanplattenschraube;pc-6.1
AAE069s001;Schraube;pc-6.1
FAA009s001;Gipsplattenschraube;pc-6.1
AAA256s001;Schnellbauschrauben;pc-6.1
AAB650s001;Schnellbauschraube;pc-6.1
AAE068s001;Schraube, Mutter;pc-6.1
AAA264s001;Holzbauschrauben;pc-6.1
AAB612s001;Holzbauschraube;pc-6.1
AAA257s001;Schlüsselschrauben;pc-6.1
AAB648s001;Schlüsselschraube;pc-6.1
AAA258s001;Schlossschrauben;pc-6.1
AAB647s001;Schlossschraube;pc-6.1
AAA259s001;Bauschrauben;pc-6.1
AAB558s001;Bauschraube;pc-6.1
AAA260s001;Gewindestangen;pc-6.1
AAB601s001;Gewindestange;pc-6.1
FAA010s001;Befestigung;pc-6.1
FAA011s001;Gemeindestange;pc-6.1
FAA012s001;Gewindestutzen;pc-6.1
FAA013s001;Leuchtenzubehör;pc-6.1
FAA014s001;Stange;pc-6.1
FAA015s001;Zubehör für Leuchten;pc-6.1
AAA261s001;Muttern;pc-6.1
AAA262s001;Hutmuttern;pc-6.1
AAA287s001;Sechskanthutmuttern;pc-6.1
AAA288s001;Vierkanthutmuttern;pc-6.1
AAB320s001;Sechskanthutmutter;pc-6.1
AAB321s001;Vierkanthutmutter;pc-6.1
AAB614s001;Hutmutter;pc-6.1
AAB630s001;Mutter;pc-6.1
AAA289s001;Flügelmuttern;pc-6.1
AAA296s001;Vierkantmuttern;pc-6.1
AAA297s001;Sechskantmuttern;pc-6.1
AAA557s001;Standardmuttern;pc-6.1
AAB596s001;Flügelmutter;pc-6.1
AAB665s001;Sechskantmutter;pc-6.1
AAB666s001;Standardmutter;pc-6.1
AAB667s001;Vierkantmutter;pc-6.1
AAG033s001;Universalmutter;pc-6.1
AAA265s001;Unterlegscheiben;pc-6.1
AAB676s001;Unterlegscheibe;pc-6.1
AAF265s001;Scheibe (plan,ballig);pc-6.1
AAF266s001;Scheiben (plan/ballig);pc-6.1
FAA026s001;Fächerscheibe;pc-6.1
FAA027s001;Federring;pc-6.1
FAA028s001;Gewindescheibe;pc-6.1
FAA029s001;Kontaktscheibe;pc-6.1
FAA030s001;Kunststoffscheibe;pc-6.1
