Klasse_ID;Parent_ID;Klassenbezeichnung;Hierarchieebene;Klassifikationssystem_ID
AAA446h002;;Arbeitssicherheit, Unfallschutz;1;pc-7.0
EAB004h003;AAA446h002;Absperrung;2;pc-7.0
EAB005c012;EAB004h003;Absperrband;3;pc-7.0
EAB006c006;EAB004h003;Absperrhalter;3;pc-7.0
EAB099c013;EAB004h003;Absperrkette;3;pc-7.0
EAF055c001;EAB004h003;Absperrnetz;3;pc-7.0
EAB007h002;EAB004h003;Absperrpfosten;3;pc-7.0
EAB009c005;EAB007h002;Schlüssel für Sperrpfosten;4;pc-7.0
EAB008c039;EAB007h002;Sperrpfosten;4;pc-7.0
EAF051c001;EAB004h003;Absturzsicherung;3;pc-7.0
EAF066c001;EAB004h003;Bauzaun;3;pc-7.0
EAF060c001;EAB004h003;Fahrbahnmarkierung;3;pc-7.0
EAF063c001;EAB004h003;Faltsignal;3;pc-7.0
EAF059c001;EAB004h003;Leitkegel;3;pc-7.0
EAF056c001;EAB004h003;Leitzylinder;3;pc-7.0
EAF062c001;EAB004h003;Markierungsnagel;3;pc-7.0
EAB586c008;EAB004h003;Schnurpfahl;3;pc-7.0
EAF061c001;EAB004h003;Sichtzeichen;3;pc-7.0
EAB010c012;EAB004h003;Sperrbügel;3;pc-7.0
EAF052c001;EAB004h003;Transportgestell für Absturzsicherungen;3;pc-7.0
EAD187c001;EAB004h003;Wegeschranke;3;pc-7.0
EAF053c001;EAB004h003;Zubehör für Absperrung;3;pc-7.0
AAA450h003;AAA446h002;Arbeitsbekleidung;2;pc-7.0
AAB550h002;AAA450h003;Allgemeine Arbeitsbekleidung;3;pc-7.0
EAF123c001;AAB550h002;Arbeitshemd;4;pc-7.0
AAB552c017;AAB550h002;Arbeitshose;4;pc-7.0
AAB551c017;AAB550h002;Arbeitsjacke;4;pc-7.0
AAB553c017;AAB550h002;Arbeitslatzhose;4;pc-7.0
AAB555c018;AAB550h002;Arbeitsmantel;4;pc-7.0
AAB562c017;AAB550h002;Arbeitsoverall;4;pc-7.0
EAF126c001;AAB550h002;Arbeitsparka;4;pc-7.0
EAF124c001;AAB550h002;Arbeitspullover;4;pc-7.0
AAB554c019;AAB550h002;Arbeitsweste;4;pc-7.0
EAF128c001;AAB550h002;Arbeits-Poloshirt;4;pc-7.0
EAF125c001;AAB550h002;Arbeits-Sweatshirt;4;pc-7.0
EAF127c001;AAB550h002;Arbeits-T-Shirt;4;pc-7.0
EAA385c043;AAB550h002;Schürze;4;pc-7.0
EAC345c019;AAB550h002;Unterwäsche-Set;4;pc-7.0
EAB993c018;AAB550h002;Wathose;4;pc-7.0
AAB620h002;AAA450h003;Antistatikbekleidung;3;pc-7.0
EAA389c032;AAB620h002;Antistatik T-Shirt;4;pc-7.0
EAA387c044;AAB620h002;Antistatikhose;4;pc-7.0
EAA386c033;AAB620h002;Antistatikjacke;4;pc-7.0
EAA388c044;AAB620h002;Antistatiklatzhose;4;pc-7.0
AAB622c006;AAB620h002;Antistatikmantel;4;pc-7.0
AAB621c013;AAB620h002;Antistatikoverall;4;pc-7.0
AAB780h002;AAA450h003;Augenschutz, Gesichtsschutz;3;pc-7.0
