KlasseMerkmal_Nr;Klasse_ID;Merkmal_ID;Einheit_ID;Sortier_Nr;Mussmerkmal;Klassifikationssystem_ID
1;EAB005c012;AAA358f001;;1;FALSE;pc-7.0
2;EAB006c006;AAA003f001;AAA009u001;1;FALSE;pc-7.0
3;EAB006c006;AAA031f001;AAA001u001;2;FALSE;pc-7.0
4;EAB099c013;AAA358f001;;1;FALSE;pc-7.0
5;EAB099c013;AAA002f001;AAA038u001;2;FALSE;pc-7.0
6;EAB099c013;EAB141f001;AAA001u001;3;FALSE;pc-7.0
7;EAF055c001;AAA358f001;;1;FALSE;pc-7.0
8;EAF055c001;AAA031f001;AAA001u001;2;TRUE;pc-7.0
9;EAF055c001;AAA002f001;AAA001u001;3;TRUE;pc-7.0
10;EAF055c001;AAA003f001;AAA042u001;4;FALSE;pc-7.0
11;EAF055c001;AAA344f001;;5;FALSE;pc-7.0
12;EAB009c005;AAA081f001;AAA001u001;1;FALSE;pc-7.0
13;EAB008c039;AAA026f001;;1;FALSE;pc-7.0
14;EAB008c039;AAB435f001;;2;FALSE;pc-7.0
15;EAB008c039;AAA358f001;;3;FALSE;pc-7.0
16;EAB008c039;EAB663f001;AAA001u001;4;FALSE;pc-7.0
17;EAB008c039;AAB223f001;;5;FALSE;pc-7.0
18;EAB008c039;AAA032f001;AAA001u001;6;FALSE;pc-7.0
19;EAF051c001;EAF001f001;;1;TRUE;pc-7.0
20;EAF051c001;AAA003f001;AAA009u001;2;TRUE;pc-7.0
21;EAF051c001;AAA040f001;AAA001u001;3;FALSE;pc-7.0
22;EAF051c001;AAA031f001;AAA001u001;4;FALSE;pc-7.0
23;EAF051c001;AAA472f001;AAA001u001;5;FALSE;pc-7.0
24;EAF066c001;AAA040f001;AAA001u001;1;TRUE;pc-7.0
25;EAF066c001;AAA031f001;AAA001u001;2;TRUE;pc-7.0
26;EAF066c001;AAC312f001;AAA001u001;3;FALSE;pc-7.0
27;EAF066c001;EAF002f001;AAA001u001;4;FALSE;pc-7.0
28;EAF066c001;AAB222f001;;5;FALSE;pc-7.0
29;EAF066c001;EAF003f001;;6;TRUE;pc-7.0
30;EAF066c001;AAA003f001;AAA009u001;7;TRUE;pc-7.0
31;EAF060c001;AAA002f001;AAA001u001;1;TRUE;pc-7.0
32;EAF060c001;AAA040f001;AAA001u001;2;TRUE;pc-7.0
