KlasseSchlagwort_Nr;Klasse_ID;Schlagwort_ID;Klassifikationssystem_ID
1,00;AAA000c004;AAA001s001;pc-5.1
2,00;AAA000c004;AAB153s001;pc-5.1
3,00;AAA000c004;AAB222s001;pc-5.1
4,00;AAA000c004;AAE052s001;pc-5.1
5,00;AAA002c003;AAA001s001;pc-5.1
6,00;AAA002c003;AAA004s001;pc-5.1
7,00;AAA002c003;AAA005s001;pc-5.1
8,00;AAA002c003;AAB153s001;pc-5.1
9,00;AAA002c003;AAB222s001;pc-5.1
10,00;AAA002c003;AAE052s001;pc-5.1
11,00;AAA002c003;AAE087s001;pc-5.1
12,00;AAA002c003;AAE088s001;pc-5.1
13,00;AAA002c003;AAM209s001;pc-5.1
14,00;AAA004c004;AAB222s001;pc-5.1
15,00;AAA004c004;AAB247s001;pc-5.1
16,00;AAA004c004;AAE002s001;pc-5.1
17,00;AAA004c004;AAE004s001;pc-5.1
18,00;AAA004c004;AAE006s001;pc-5.1
19,00;AAA004c004;AAE141s001;pc-5.1
20,00;AAA004c004;AAE144s001;pc-5.1
21,00;AAA005c004;AAB222s001;pc-5.1
22,00;AAA005c004;AAB644s001;pc-5.1
23,00;AAA005c004;AAE002s001;pc-5.1
24,00;AAA005c004;AAE004s001;pc-5.1
25,00;AAA005c004;AAE006s001;pc-5.1
26,00;AAA005c004;AAE141s001;pc-5.1
27,00;AAA005c004;AAE144s001;pc-5.1
28,00;AAA005c004;AAE160s001;pc-5.1
29,00;AAA005c004;AAM196s001;pc-5.1
30,00;AAA010c003;AAB222s001;pc-5.1
31,00;AAA010c003;AAB618s001;pc-5.1
32,00;AAA010c003;AAE004s001;pc-5.1
33,00;AAA017c016;AAA029s001;pc-5.1
34,00;AAA017c016;AAA031s001;pc-5.1
35,00;AAA017c016;AAA032s001;pc-5.1
36,00;AAA017c016;AAA033s001;pc-5.1
37,00;AAA017c016;AAB209s001;pc-5.1
38,00;AAA017c016;AAB210s001;pc-5.1
39,00;AAA017c016;AAB211s001;pc-5.1
40,00;AAA017c016;AAB212s001;pc-5.1
41,00;AAA017c016;AAN367s001;pc-5.1
42,00;AAA018c002;AAA034s001;pc-5.1
43,00;AAA018c002;AAA035s001;pc-5.1
44,00;AAA018c002;AAA036s001;pc-5.1
45,00;AAA018c002;AAA335s001;pc-5.1
46,00;AAA019c023;AAA036s001;pc-5.1
47,00;AAA019c023;AAA037s001;pc-5.1
48,00;AAA019c023;AAA038s001;pc-5.1
49,00;AAA019c023;AAA043s001;pc-5.1
50,00;AAA019c023;AAB229s001;pc-5.1
51,00;AAA019c023;AAB230s001;pc-5.1
52,00;AAA019c023;AAC175s001;pc-5.1
53,00;AAA019c023;AAC176s001;pc-5.1
54,00;AAA020c006;AAA033s001;pc-5.1
55,00;AAA020c006;AAA039s001;pc-5.1
56,00;AAA020c006;AAA040s001;pc-5.1
57,00;AAA020c006;AAA041s001;pc-5.1
58,00;AAA020c006;AAA042s001;pc-5.1
59,00;AAA020c006;AAB211s001;pc-5.1
60,00;AAA020c006;AAB238s001;pc-5.1
61,00;AAA020c006;AAB239s001;pc-5.1
62,00;AAA020c006;AAB240s001;pc-5.1
63,00;AAA020c006;AAB589s001;pc-5.1
64,00;AAA022c006;AAA044s001;pc-5.1
65,00;AAA022c006;AAA045s001;pc-5.1
66,00;AAA023c028;AAA033s001;pc-5.1
67,00;AAA023c028;AAA046s001;pc-5.1
68,00;AAA023c028;AAA047s001;pc-5.1
69,00;AAA023c028;AAB211s001;pc-5.1
70,00;AAA023c028;AAB286s001;pc-5.1
71,00;AAA023c028;AAB287s001;pc-5.1
72,00;AAA023c028;AAN369s001;pc-5.1
73,00;AAA023c028;AAN370s001;pc-5.1
74,00;AAA023c028;AAN371s001;pc-5.1
75,00;AAA024c004;AAA048s001;pc-5.1
76,00;AAA024c004;AAA049s001;pc-5.1
77,00;AAA024c004;AAA050s001;pc-5.1
78,00;AAA024c004;AAN372s001;pc-5.1
79,00;AAA024c004;AAN373s001;pc-5.1
80,00;AAA025c003;AAA051s001;pc-5.1
81,00;AAA025c003;AAA052s001;pc-5.1
82,00;AAA025c003;AAA053s001;pc-5.1
83,00;AAA025c003;AAB291s001;pc-5.1
84,00;AAA025c003;AAB292s001;pc-5.1
85,00;AAA025c003;AAB609s001;pc-5.1
86,00;AAA025c003;AAN374s001;pc-5.1
87,00;AAA025c003;AAN375s001;pc-5.1
88,00;AAA026c013;AAA054s001;pc-5.1
89,00;AAA026c013;AAB646s001;pc-5.1
90,00;AAA026c013;AAN376s001;pc-5.1
91,00;AAA026c013;AAN526s001;pc-5.1
92,00;AAA026c013;AAN528s001;pc-5.1
93,00;AAA026c013;EAK513s001;pc-5.1
94,00;AAA027c019;AAA030s001;pc-5.1
95,00;AAA027c019;AAA055s001;pc-5.1
96,00;AAA027c019;AAA056s001;pc-5.1
97,00;AAA027c019;AAA057s001;pc-5.1
98,00;AAA027c019;AAA058s001;pc-5.1
99,00;AAA027c019;AAA059s001;pc-5.1
100,00;AAA027c019;AAA060s001;pc-5.1
101,00;AAA027c019;AAA061s001;pc-5.1
102,00;AAA027c019;AAA062s001;pc-5.1
103,00;AAA027c019;AAB463s001;pc-5.1
104,00;AAA027c019;AAB464s001;pc-5.1
105,00;AAA027c019;AAB465s001;pc-5.1
106,00;AAA027c019;AAB466s001;pc-5.1
107,00;AAA027c019;AAB467s001;pc-5.1
108,00;AAA027c019;AAN377s001;pc-5.1
109,00;AAA027c019;AAN378s001;pc-5.1
110,00;AAA027c019;AAN379s001;pc-5.1
111,00;AAA027c019;AAN380s001;pc-5.1
112,00;AAA027c019;AAN381s001;pc-5.1
113,00;AAA027c019;AAN382s001;pc-5.1
114,00;AAA028c010;AAA063s001;pc-5.1
115,00;AAA028c010;AAA064s001;pc-5.1
116,00;AAA028c010;AAA065s001;pc-5.1
117,00;AAA028c010;AAA066s001;pc-5.1
118,00;AAA028c010;AAA067s001;pc-5.1
119,00;AAA028c010;AAA336s001;pc-5.1
120,00;AAA028c010;AAB468s001;pc-5.1
121,00;AAA028c010;AAB469s001;pc-5.1
122,00;AAA028c010;AAB470s001;pc-5.1
123,00;AAA028c010;AAB471s001;pc-5.1
124,00;AAA028c010;AAB472s001;pc-5.1
125,00;AAA028c010;AAN383s001;pc-5.1
126,00;AAA028c010;AAN384s001;pc-5.1
127,00;AAA028c010;AAN385s001;pc-5.1
128,00;AAA028c010;AAN386s001;pc-5.1
129,00;AAA028c010;AAN527s001;pc-5.1
130,00;AAA031c098;AAA070s001;pc-5.1
131,00;AAA031c098;AAA071s001;pc-5.1
132,00;AAA031c098;AAA072s001;pc-5.1
133,00;AAA031c098;AAB474s001;pc-5.1
134,00;AAA031c098;AAB475s001;pc-5.1
135,00;AAA031c098;AAB476s001;pc-5.1
136,00;AAA031c098;AAC177s001;pc-5.1
137,00;AAA031c098;AAC178s001;pc-5.1
138,00;AAA031c098;AAN388s001;pc-5.1
139,00;AAA031c098;AAN389s001;pc-5.1
140,00;AAA031c098;AAN390s001;pc-5.1
141,00;AAA031c098;AAN392s001;pc-5.1
142,00;AAA031c098;AAN394s001;pc-5.1
143,00;AAA031c098;AAN395s001;pc-5.1
144,00;AAA031c098;AAN397s001;pc-5.1
145,00;AAA031c098;AAN398s001;pc-5.1
146,00;AAA032c025;AAA033s001;pc-5.1
147,00;AAA032c025;AAA073s001;pc-5.1
148,00;AAA032c025;AAA074s001;pc-5.1
149,00;AAA032c025;AAB211s001;pc-5.1
150,00;AAA032c025;AAB488s001;pc-5.1
151,00;AAA032c025;AAB489s001;pc-5.1
152,00;AAA033c002;AAA075s001;pc-5.1
153,00;AAA034c003;AAA076s001;pc-5.1
154,00;AAA035c002;AAA077s001;pc-5.1
155,00;AAA035c002;AAA078s001;pc-5.1
156,00;AAA035c002;AAB663s001;pc-5.1
157,00;AAA035c002;AAB664s001;pc-5.1
158,00;AAA036c064;AAA031s001;pc-5.1
159,00;AAA036c064;AAA033s001;pc-5.1
160,00;AAA036c064;AAA079s001;pc-5.1
161,00;AAA036c064;AAB211s001;pc-5.1
162,00;AAA036c064;AAB212s001;pc-5.1
163,00;AAA036c064;AAB514s001;pc-5.1
164,00;AAA037c003;AAA070s001;pc-5.1
165,00;AAA037c003;AAA080s001;pc-5.1
166,00;AAA037c003;AAB476s001;pc-5.1
167,00;AAA037c003;AAB538s001;pc-5.1
168,00;AAA038c003;AAA081s001;pc-5.1
169,00;AAA038c003;AAB574s001;pc-5.1
170,00;AAA038c003;AAE043s001;pc-5.1
171,00;AAA038c003;AAE071s001;pc-5.1
172,00;AAA111c002;AAA254s001;pc-5.1
173,00;AAA111c002;AAA255s001;pc-5.1
174,00;AAA111c002;AAB613s001;pc-5.1
175,00;AAA111c002;AAB661s001;pc-5.1
176,00;AAA111c002;AAE043s001;pc-5.1
177,00;AAA111c002;AAE069s001;pc-5.1
178,00;AAA112c003;AAA256s001;pc-5.1
179,00;AAA112c003;AAB650s001;pc-5.1
180,00;AAA112c003;AAE043s001;pc-5.1
181,00;AAA112c003;AAE068s001;pc-5.1
182,00;AAA112c003;AAE069s001;pc-5.1
183,00;AAA113c003;AAA264s001;pc-5.1
184,00;AAA113c003;AAB612s001;pc-5.1
185,00;AAA113c003;AAE043s001;pc-5.1
186,00;AAA113c003;AAE069s001;pc-5.1
187,00;AAA114c003;AAA257s001;pc-5.1
188,00;AAA114c003;AAB648s001;pc-5.1
189,00;AAA114c003;AAE043s001;pc-5.1
190,00;AAA114c003;AAE068s001;pc-5.1
191,00;AAA114c003;AAE069s001;pc-5.1
192,00;AAA115c003;AAA258s001;pc-5.1
193,00;AAA115c003;AAB647s001;pc-5.1
194,00;AAA115c003;AAE043s001;pc-5.1
195,00;AAA115c003;AAE068s001;pc-5.1
196,00;AAA115c003;AAE069s001;pc-5.1
197,00;AAA116c003;AAA259s001;pc-5.1
198,00;AAA116c003;AAB558s001;pc-5.1
199,00;AAA116c003;AAE043s001;pc-5.1
200,00;AAA116c003;AAE069s001;pc-5.1
201,00;AAA117c003;AAA260s001;pc-5.1
202,00;AAA117c003;AAB601s001;pc-5.1
203,00;AAA117c003;AAE043s001;pc-5.1
204,00;AAA117c003;AAE069s001;pc-5.1
205,00;AAA119c003;AAA261s001;pc-5.1
206,00;AAA119c003;AAA262s001;pc-5.1
207,00;AAA119c003;AAA287s001;pc-5.1
208,00;AAA119c003;AAA288s001;pc-5.1
209,00;AAA119c003;AAB320s001;pc-5.1
210,00;AAA119c003;AAB321s001;pc-5.1
211,00;AAA119c003;AAB614s001;pc-5.1
212,00;AAA119c003;AAB630s001;pc-5.1
213,00;AAA119c003;AAE043s001;pc-5.1
214,00;AAA120c003;AAA261s001;pc-5.1
215,00;AAA120c003;AAA289s001;pc-5.1
216,00;AAA120c003;AAA296s001;pc-5.1
217,00;AAA120c003;AAA297s001;pc-5.1
218,00;AAA120c003;AAA557s001;pc-5.1
219,00;AAA120c003;AAB596s001;pc-5.1
220,00;AAA120c003;AAB630s001;pc-5.1
221,00;AAA120c003;AAB665s001;pc-5.1
222,00;AAA120c003;AAB666s001;pc-5.1
223,00;AAA120c003;AAB667s001;pc-5.1
224,00;AAA120c003;AAE043s001;pc-5.1
225,00;AAA120c003;AAG033s001;pc-5.1
226,00;AAA121c003;AAA265s001;pc-5.1
227,00;AAA121c003;AAB676s001;pc-5.1
228,00;AAA121c003;AAE043s001;pc-5.1
229,00;AAA121c003;AAF265s001;pc-5.1
230,00;AAA121c003;AAF266s001;pc-5.1
231,00;AAA122c003;AAA263s001;pc-5.1
232,00;AAA122c003;AAB571s001;pc-5.1
233,00;AAA122c003;AAE043s001;pc-5.1
234,00;AAA122c003;AAF259s001;pc-5.1
235,00;AAA123c002;AAA266s001;pc-5.1
236,00;AAA123c002;AAB740s001;pc-5.1
237,00;AAA123c002;AAE043s001;pc-5.1
238,00;AAA124c002;AAA267s001;pc-5.1
239,00;AAA124c002;AAB540s001;pc-5.1
240,00;AAA124c002;AAB814s001;pc-5.1
241,00;AAA124c002;AAC959s001;pc-5.1
242,00;AAA124c002;AAC960s001;pc-5.1
243,00;AAA124c002;AAE043s001;pc-5.1
