Wert_ID;Wertbezeichnung;Klassifikationssystem_ID
AAA183v001;Flachdraht;pc-5.1
AAA184v001;Stahldraht, glatt;pc-5.1
AAA185v001;Spezial Nylon;pc-5.1
AAA186v001;Stahldraht, grob;pc-5.1
AAA187v001;Stahldraht, fein;pc-5.1
AAA188v001;rostfreier Draht, grob;pc-5.1
AAA189v001;Schleifborste, grob;pc-5.1
AAA190v001;Schleifborste, fein;pc-5.1
AAA191v001;Fibre (Fächerbürste);pc-5.1
AAA192v001;kunststoffgebunden;pc-5.1
AAA193v001;Rundbürste;pc-5.1
AAA194v001;Topfbürste;pc-5.1
AAA195v001;Pinselbürste;pc-5.1
AAA196v001;Fächerbürste;pc-5.1
AAA197v001;Stahldraht, gewellt;pc-5.1
AAA198v001;rostfreier Draht, gewellt;pc-5.1
AAA199v001;Nylon, glatt;pc-5.1
AAA200v001;Kehlnahtbürste;pc-5.1
AAA201v001;Universalbürste;pc-5.1
AAA202v001;Radiatorenbürste;pc-5.1
AAA203v001;Feilenbürste;pc-5.1
AAA204v001;Standard;pc-5.1
AAA205v001;Stahldraht, gezopft;pc-5.1
AAA206v001;rostfreier Draht, gezopft;pc-5.1
AAA207v001;Stahldraht, vermessingt;pc-5.1
AAA208v001;Messingdraht, glatt;pc-5.1
AAA209v001;Messingdraht, gewellt;pc-5.1
AAA210v001;Nylon;pc-5.1
AAA211v001;Rosshaar;pc-5.1
AAA212v001;rostfreier Draht, glatt;pc-5.1
AAA213v001;Draht gezopft;pc-5.1
AAA214v001;extra lange Form;pc-5.1
AAA215v001;gespreizte Form;pc-5.1
AAA216v001;Schleifborste;pc-5.1
AAA217v001;ohne Gewinde;pc-5.1
AAA218v001;Schaft;pc-5.1
AAA219v001;Handgriff;pc-5.1
AAA220v001;Einzelspirale;pc-5.1
AAA221v001;Doppelspirale;pc-5.1
AAA222v001;Schrubber;pc-5.1
AAA223v001;Fleischer-Blockbürste;pc-5.1
AAA224v001;Blockbürste;pc-5.1
AAA225v001;Fiber/Phosphor;pc-5.1
AAA226v001;Schleifborste, Korn 80;pc-5.1
AAA227v001;Hutschraube;pc-5.1
