Schlagwort_ID;Schlagwortbezeichnung;Klassifikationssystem_ID
AAA000s001;Zangen;pc-5.1
AAA001s001;Abisolierzangen;pc-5.1
AAA004s001;Abisolier-Seitenschneider;pc-5.1
AAA005s001;Seitenschneider;pc-5.1
AAA007s001;Flachzangen;pc-5.1
AAA008s001;Rundzangen;pc-5.1
AAA013s001;Storchschnabelzangen;pc-5.1
AAA014s001;Telefonzangen;pc-5.1
AAA021s001;Schweißgripzangen;pc-5.1
AAA024s001;Kneifzangen;pc-5.1
AAA025s001;Monierzangen;pc-5.1
AAA027s001;Flechterzangen;pc-5.1
AAA028s001;Kraftmonierzangen;pc-5.1
AAA029s001;Diamant-Trennscheiben;pc-5.1
AAA030s001;Schleifmittel;pc-5.1
AAA031s001;Trennscheiben;pc-5.1
AAA032s001;Diamantscheiben;pc-5.1
AAA033s001;Schleifscheiben;pc-5.1
AAA034s001;Klein-Schleifmopp;pc-5.1
AAA035s001;Fächerschleifer;pc-5.1
AAA036s001;Lamellenschleifer;pc-5.1
AAA037s001;Fächerschleifscheiben;pc-5.1
AAA038s001;Schleifmoppteller;pc-5.1
AAA039s001;Fiberscheiben;pc-5.1
AAA040s001;Vulkanfiberscheiben;pc-5.1
AAA041s001;Fiberschleifscheiben;pc-5.1
AAA042s001;Schleiffiberscheiben;pc-5.1
AAA043s001;Flächenschleifscheiben;pc-5.1
AAA044s001;Stützteller;pc-5.1
AAA045s001;Gummiteller;pc-5.1
AAA046s001;Klettscheiben;pc-5.1
AAA047s001;Haftscheiben;pc-5.1
AAA048s001;Haft-Stützteller;pc-5.1
AAA049s001;Klettteller;pc-5.1
AAA050s001;Haftstützteller;pc-5.1
AAA051s001;Schleifklötze;pc-5.1
AAA052s001;Handklötze;pc-5.1
AAA053s001;Schleiffix-Handklötze;pc-5.1
AAA054s001;Schleifbänder;pc-5.1
AAA055s001;Flintpapiere;pc-5.1
AAA056s001;Scheiben;pc-5.1
AAA057s001;Finishingpapiere;pc-5.1
AAA058s001;Schleifblätter;pc-5.1
AAA059s001;Braunkörper;pc-5.1
AAA060s001;Blaukörper;pc-5.1
AAA061s001;Streifen;pc-5.1
AAA062s001;Schleifpapiere;pc-5.1
AAA063s001;Schleifmopp;pc-5.1
AAA064s001;Fächerräder;pc-5.1
AAA065s001;Lamellenräder;pc-5.1
AAA066s001;Lamellenscheiben;pc-5.1
AAA067s001;Fächerscheiben;pc-5.1
AAA070s001;Schleifstifte;pc-5.1
AAA071s001;Flexstifte;pc-5.1
AAA072s001;Polierstifte;pc-5.1
AAA073s001;Schruppschleifscheiben;pc-5.1
AAA074s001;Schruppscheiben;pc-5.1
AAA075s001;Stahlspäne;pc-5.1
AAA076s001;Stahlwolle;pc-5.1
AAA077s001;Stahlwolle-Matten;pc-5.1
AAA078s001;Stahlwollematten;pc-5.1
AAA079s001;Trennschleifscheibe;pc-5.1
AAA080s001;Walzenrundstifte;pc-5.1
AAA081s001;Zylinderstifte;pc-5.1
AAA082s001;Akkus;pc-5.1
AAA085s001;Akku-Knabber;pc-5.1
AAA086s001;Akku-Blindnietgeräte;pc-5.1
AAA087s001;Blindnietgeräte;pc-5.1
AAA088s001;Akku-Blindnietmuttergeräte;pc-5.1
AAA091s001;Akku-Bohrhämmer;pc-5.1
AAA092s001;Akku-Bohrmaschinen;pc-5.1
AAA093s001;Akku-Bohrmaschinen und Schrauber;pc-5.1
AAA094s001;Akku-Schrauber;pc-5.1
AAA096s001;Akku-Bohrschrauber;pc-5.1
AAA097s001;Akku-Fuchsschwänze;pc-5.1
AAA100s001;Akku-Handkreissägen;pc-5.1
AAA102s001;Akku-Heckenscheren;pc-5.1
AAA103s001;Akku-Kapp- und Gehrungssägen;pc-5.1
AAA104s001;Kappsägen;pc-5.1
AAA105s001;Gehrungssägen;pc-5.1
AAA108s001;Kartuschenpistolen;pc-5.1
AAA110s001;Akku-Ladegeräte;pc-5.1
AAA111s001;Kreissägen;pc-5.1
AAA114s001;Akku-Packs;pc-5.1
AAA115s001;Ersatzakkus;pc-5.1
AAA116s001;Akku-Säbelsägen;pc-5.1
AAA119s001;Akku-Schlagbohrmaschinen;pc-5.1
AAA121s001;Akku-Schlagbohrschrauber;pc-5.1
AAA122s001;Akku-Schlagbohrer;pc-5.1
AAA123s001;Akku-Schlagbohrmaschinen und Schrauber;pc-5.1
AAA124s001;Schlagbohrer;pc-5.1
AAA126s001;Akku-Schlagschrauber;pc-5.1
AAA131s001;Akku-Tacker;pc-5.1
AAA132s001;Tacker;pc-5.1
AAA134s001;Akku-Universalscheren;pc-5.1
AAA135s001;Universalscheren;pc-5.1
AAA136s001;Scheren;pc-5.1
AAA137s001;Akku-Winkelbohrmaschinen;pc-5.1
AAA139s001;Elektrische Feilen;pc-5.1
AAA142s001;Fingerschleifer;pc-5.1
AAA144s001;Bandschleifer;pc-5.1
AAA145s001;Winkelschleifer;pc-5.1
AAA146s001;Betonschleifer;pc-5.1
AAA148s001;Blechscheren;pc-5.1
AAA150s001;Schneidwerkzeuge;pc-5.1
AAA151s001;Elektro-Blechscheren;pc-5.1
AAA162s001;Diamant-Bohrmaschinen;pc-5.1
AAA163s001;Diamantbohrmaschinen;pc-5.1
AAA166s001;Dreieck-Schleifer;pc-5.1
AAA170s001;Handwerkzeuge;pc-5.1
AAA172s001;Feinschnittsägen;pc-5.1
AAA175s001;Fräs- und Schleifmotoren;pc-5.1
AAA180s001;Gewindeschneidmaschinen;pc-5.1
AAA182s001;Bandsägen;pc-5.1
AAA183s001;Tauchkreissägen;pc-5.1
AAA195s001;Handhobel;pc-5.1
AAA196s001;Hobel;pc-5.1
AAA199s001;Handhobel (elektrisch);pc-5.1
AAA200s001;Hobel (elektrisch);pc-5.1
AAA203s001;Kernbohrmaschinen Metall;pc-5.1
AAA205s001;Kettensägen;pc-5.1
AAA206s001;Schlichtfräser;pc-5.1
AAA209s001;Lackfräsen;pc-5.1
AAA214s001;Magazinschrauber;pc-5.1
AAA217s001;Allessauger;pc-5.1
AAA218s001;Nasssauger;pc-5.1
AAA219s001;Sicherheitssauger;pc-5.1
AAA220s001;Trockensauger;pc-5.1
AAA221s001;Nass- und Trockensauger;pc-5.1
AAA222s001;Spezialsauger;pc-5.1
AAA223s001;Universalfräse;pc-5.1
AAA225s001;Oberfräsen;pc-5.1
AAA227s001;Polierer;pc-5.1
AAA230s001;Elektrofuchsschwänze;pc-5.1
AAA238s001;Trockenbauschrauber;pc-5.1
AAA249s001;Einhand-Winkelschleifer;pc-5.1
AAA250s001;Zweihand-Winkelschleifer;pc-5.1
AAA252s001;Zweihandwinkelschleifer;pc-5.1
AAA253s001;Kombinationszangen;pc-5.1
AAA254s001;Spax;pc-5.1
AAA255s001;Spanplattenschrauben;pc-5.1
AAA256s001;Schnellbauschrauben;pc-5.1
AAA257s001;Schlüsselschrauben;pc-5.1
AAA258s001;Schlossschrauben;pc-5.1
AAA259s001;Bauschrauben;pc-5.1
AAA260s001;Gewindestangen;pc-5.1
AAA261s001;Muttern;pc-5.1
AAA262s001;Hutmuttern;pc-5.1
AAA263s001;Drahtstifte;pc-5.1
AAA264s001;Holzbauschrauben;pc-5.1
AAA265s001;Unterlegscheiben;pc-5.1
AAA266s001;Balkenschuhe;pc-5.1
AAA267s001;Windrispenband;pc-5.1
AAA268s001;Spanngeräte;pc-5.1
AAA269s001;Sparrennägel;pc-5.1
AAA270s001;Pfostenträger;pc-5.1
AAA271s001;Stützenfuß;pc-5.1
AAA272s001;Balkenanker;pc-5.1
AAA273s001;Bauklammern;pc-5.1
AAA274s001;Gerüstklammern;pc-5.1
AAA275s001;Ringkeildübel;pc-5.1
AAA276s001;Balkenträger;pc-5.1
AAA277s001;Lochplattenwinkel;pc-5.1
AAA278s001;Betonwinkel;pc-5.1
AAA279s001;Betonanker;pc-5.1
AAA280s001;Sparrenpfettenanker;pc-5.1
AAA281s001;Lochplatten;pc-5.1
AAA282s001;Lochplattenstreifen;pc-5.1
AAA283s001;Gerberverbinder;pc-5.1
AAA284s001;Sparrenhalter;pc-5.1
AAA285s001;Sparrenfußverbinder;pc-5.1
AAA286s001;Knaggen;pc-5.1
AAA287s001;Sechskanthutmuttern;pc-5.1
AAA288s001;Vierkanthutmuttern;pc-5.1
AAA289s001;Flügelmuttern;pc-5.1
AAA290s001;Schweißmuttern;pc-5.1
AAA291s001;Vierkantschweißmuttern;pc-5.1
AAA292s001;Sechskantschweißmuttern;pc-5.1
AAA293s001;Vierkant-Schweißmuttern;pc-5.1
AAA294s001;Sechskant-Schweißmuttern;pc-5.1
AAA295s001;Anschweißmuttern;pc-5.1
AAA296s001;Vierkantmuttern;pc-5.1
AAA297s001;Sechskantmuttern;pc-5.1
AAA298s001;Ringmuttern;pc-5.1
AAA299s001;Rändelmuttern;pc-5.1
AAA300s001;Rohrmuttern;pc-5.1
AAA301s001;Kronenmuttern;pc-5.1
AAA302s001;Spannschlossmuttern;pc-5.1
AAA303s001;Nutmutter;pc-5.1
AAA304s001;Kreuzlochmuttern;pc-5.1
AAA305s001;Verlängerungsmuttern;pc-5.1
AAA306s001;Einschraubmuttern;pc-5.1
AAA307s001;Schraubdübel;pc-5.1
AAA308s001;Sicherungsmuttern;pc-5.1
AAA309s001;Bundmuttern;pc-5.1
AAA310s001;Kegelmuttern;pc-5.1
AAA311s001;Blechmuttern;pc-5.1
AAA312s001;Einschlagmuttern;pc-5.1
AAA313s001;Setzmuttern;pc-5.1
AAA314s001;Schnappmuttern;pc-5.1
AAA315s001;Verbindungsmuffen;pc-5.1
AAA316s001;Schaft-Rundbürsten;pc-5.1
AAA317s001;Schaftrundbürsten;pc-5.1
AAA318s001;Dekarbonisierbürsten;pc-5.1
AAA319s001;Schaftbürsten;pc-5.1
AAA320s001;Werkzeugbürsten;pc-5.1
AAA321s001;Werkzeugrundbürsten;pc-5.1
AAA322s001;Universaldübel;pc-5.1
AAA323s001;Rahmendübel;pc-5.1
AAA324s001;Universalrahmendübel;pc-5.1
AAA325s001;Justierdübel;pc-5.1
AAA326s001;Metallspreizdübel;pc-5.1
AAA327s001;Messingdübel;pc-5.1
AAA328s001;Schwerlastdübel;pc-5.1
AAA329s001;Hohlraumdübel;pc-5.1
AAA330s001;Tellerdübel;pc-5.1
AAA331s001;Putzdübel;pc-5.1
AAA332s001;Spiraldübel;pc-5.1
AAA333s001;Gasbetondübel;pc-5.1
AAA334s001;Porenbetondübel;pc-5.1
AAA335s001;Kleinschleifmopp;pc-5.1
AAA336s001;Schleifmoppräder;pc-5.1
AAA337s001;Stahldrahtbesen;pc-5.1
AAA338s001;Stahlbesen;pc-5.1
AAA339s001;Besen;pc-5.1
AAA340s001;Werkstattbesen;pc-5.1
AAA341s001;DIY Bürsten;pc-5.1
AAA342s001;Hobbybürsten;pc-5.1
AAA343s001;Bastlerbürsten;pc-5.1
AAA344s001;Düsenbürsten;pc-5.1
AAA345s001;Flaschenbürsten;pc-5.1
AAA346s001;Handbürsten;pc-5.1
