Klasse_ID;Parent_ID;Klassenbezeichnung;Hierarchieebene;Klassifikationssystem_ID
AAA000c004;AAA943h002;Abisolierzange;5,00;pc-5.1
AAA002c003;AAA943h002;Abisolier-Seitenschneider;5,00;pc-5.1
AAA004c004;AAA935h002;Flachzange;5,00;pc-5.1
AAA005c004;AAA935h002;Rundzange;5,00;pc-5.1
AAA010c003;AAA935h002;Justierzange;5,00;pc-5.1
AAA017c016;AAA460h002;Diamant-Trennscheibe;4,00;pc-5.1
AAA018c002;AAA460h002;Fächerschleifer;4,00;pc-5.1
AAA019c023;AAA460h002;Fächerschleifscheibe;4,00;pc-5.1
AAA020c006;AAA460h002;Fiberschleifscheibe;4,00;pc-5.1
AAA022c006;AAA460h002;Gummiteller;4,00;pc-5.1
AAA023c028;AAA460h002;Haftscheibe;4,00;pc-5.1
AAA024c004;EAC967h001;Haftstützteller;4,00;pc-5.1
AAA025c003;AAA460h002;Handklotz;4,00;pc-5.1
AAA026c013;AAA460h002;Schleifband für Bandschleifer;4,00;pc-5.1
AAA027c019;AAA460h002;Schleifblatt;4,00;pc-5.1
AAA028c010;AAA460h002;Schleifrad;4,00;pc-5.1
AAA031c098;AAA460h002;Schleifstift;4,00;pc-5.1
AAA032c025;AAA460h002;Schruppschleifscheibe;4,00;pc-5.1
AAA033c002;AAA460h002;Stahlspäne;4,00;pc-5.1
AAA034c003;AAA460h002;Stahlwolle;4,00;pc-5.1
AAA035c002;AAA460h002;Stahlwollematte;4,00;pc-5.1
AAA036c064;AAA460h002;Trennschleifscheibe;4,00;pc-5.1
AAA037c003;AAA460h002;Walzenrundstift;4,00;pc-5.1
AAA038c003;AAA469h002;Zylinderstift;3,00;pc-5.1
AAA111c002;AAA118h002;Spanplattenschraube;5,00;pc-5.1
AAA112c003;AAA447h002;Schnellbauschraube;4,00;pc-5.1
AAA113c003;AAA447h002;Holzbauschraube;4,00;pc-5.1
AAA114c003;AAA447h002;Schlüsselschraube;4,00;pc-5.1
AAA115c003;AAA447h002;Schlossschraube;4,00;pc-5.1
AAA116c003;AAA447h002;Bauschraube;4,00;pc-5.1
AAA117c003;AAA447h002;Gewindestange;4,00;pc-5.1
AAA118h002;AAA447h002;Holzschraube;4,00;pc-5.1
AAA119c003;AAA448h002;Hutmutter;4,00;pc-5.1
AAA120c003;AAA448h002;Universalmutter;4,00;pc-5.1
AAA121c003;AAA468h002;Unterlegscheibe;4,00;pc-5.1
AAA122c003;AAA469h002;Drahtstift;3,00;pc-5.1
AAA123c002;AAA455h002;Balkenschuh;4,00;pc-5.1
AAA124c002;AAA455h002;Windrispenband;4,00;pc-5.1
AAA125c002;AAA766h002;Spanngerät;4,00;pc-5.1
AAA126c002;AAA448h002;Flügelmutter;4,00;pc-5.1
AAA127c003;AAA448h002;Schweißmutter;4,00;pc-5.1
AAA128c003;AAA448h002;Anschweißmutter;4,00;pc-5.1
AAA129c002;AAA448h002;Ringmutter;4,00;pc-5.1
AAA130c003;AAA448h002;Rändelmutter;4,00;pc-5.1
AAA131c002;AAA448h002;Rohrmutter;4,00;pc-5.1
