KlasseMerkmalWert_Nr;KlasseMerkmal_Nr;Wert_ID;Sortier_Nr Wert_de;Klassifikationssystem_ID
124,00;51,00;EAB868v001;1,00;pc-5.1
125,00;51,00;AAA170v001;2,00;pc-5.1
126,00;51,00;EAB867v001;3,00;pc-5.1
127,00;51,00;EAB866v001;4,00;pc-5.1
128,00;51,00;AAA173v001;5,00;pc-5.1
129,00;51,00;AAA171v001;6,00;pc-5.1
130,00;51,00;AAA172v001;7,00;pc-5.1
131,00;51,00;AAA270v001;8,00;pc-5.1
132,00;57,00;AAA046v001;1,00;pc-5.1
133,00;57,00;AAA047v001;2,00;pc-5.1
134,00;57,00;AAA045v001;3,00;pc-5.1
135,00;57,00;AAA270v001;4,00;pc-5.1
136,00;68,00;AAA044v001;1,00;pc-5.1
137,00;68,00;EAB870v001;10,00;pc-5.1
138,00;68,00;EAB873v001;11,00;pc-5.1
139,00;68,00;EAB872v001;12,00;pc-5.1
140,00;68,00;AAA270v001;13,00;pc-5.1
141,00;68,00;AAA070v001;2,00;pc-5.1
142,00;68,00;AAA109v001;3,00;pc-5.1
143,00;68,00;AAA073v001;4,00;pc-5.1
144,00;68,00;AAA069v001;5,00;pc-5.1
145,00;68,00;EAB871v001;6,00;pc-5.1
146,00;68,00;AAA025v001;7,00;pc-5.1
147,00;68,00;EAB869v001;8,00;pc-5.1
148,00;68,00;AAA067v001;9,00;pc-5.1
149,00;69,00;AAA017v001;1,00;pc-5.1
150,00;69,00;AAA176v001;2,00;pc-5.1
151,00;69,00;AAA068v001;3,00;pc-5.1
152,00;69,00;AAA270v001;4,00;pc-5.1
153,00;64,00;AAA174v001;1,00;pc-5.1
154,00;64,00;AAA046v001;2,00;pc-5.1
155,00;64,00;AAA047v001;3,00;pc-5.1
156,00;64,00;AAA045v001;4,00;pc-5.1
157,00;64,00;AAA270v001;5,00;pc-5.1
158,00;70,00;AAA175v001;1,00;pc-5.1
159,00;70,00;AAA050v001;2,00;pc-5.1
160,00;70,00;AAA051v001;3,00;pc-5.1
161,00;70,00;AAA270v001;4,00;pc-5.1
162,00;72,00;EAB874v001;1,00;pc-5.1
163,00;72,00;AAA046v001;2,00;pc-5.1
164,00;72,00;AAA177v001;3,00;pc-5.1
165,00;72,00;AAA047v001;4,00;pc-5.1
166,00;72,00;AAA045v001;5,00;pc-5.1
167,00;72,00;AAA270v001;6,00;pc-5.1
168,00;75,00;AAA175v001;1,00;pc-5.1
169,00;75,00;AAA050v001;2,00;pc-5.1
170,00;75,00;AAA051v001;3,00;pc-5.1
171,00;75,00;AAA270v001;4,00;pc-5.1
172,00;76,00;AAA054v001;1,00;pc-5.1
173,00;76,00;AAA053v001;2,00;pc-5.1
174,00;76,00;AAA052v001;3,00;pc-5.1
175,00;76,00;AAA270v001;4,00;pc-5.1
176,00;79,00;AAA055v001;1,00;pc-5.1
177,00;79,00;AAA056v001;2,00;pc-5.1
178,00;79,00;AAA270v001;3,00;pc-5.1
179,00;81,00;AAA046v001;1,00;pc-5.1
180,00;81,00;AAA178v001;2,00;pc-5.1
181,00;81,00;AAA047v001;3,00;pc-5.1
182,00;81,00;AAA045v001;4,00;pc-5.1
183,00;81,00;AAA270v001;5,00;pc-5.1
184,00;85,00;EAB876v001;1,00;pc-5.1
185,00;85,00;EAB877v001;2,00;pc-5.1
186,00;85,00;AAA057v001;3,00;pc-5.1
187,00;85,00;EAB875v001;4,00;pc-5.1
188,00;85,00;AAA270v001;5,00;pc-5.1
189,00;84,00;AAA180v001;1,00;pc-5.1
190,00;84,00;AAA062v001;2,00;pc-5.1
191,00;84,00;AAA063v001;3,00;pc-5.1
192,00;84,00;AAA179v001;4,00;pc-5.1
193,00;84,00;AAA270v001;5,00;pc-5.1
194,00;86,00;AAA085v001;1,00;pc-5.1
195,00;86,00;AAA084v001;2,00;pc-5.1
196,00;86,00;AAA128v001;3,00;pc-5.1
197,00;86,00;AAA270v001;4,00;pc-5.1
198,00;92,00;AAA072v001;1,00;pc-5.1
199,00;92,00;AAA069v001;2,00;pc-5.1
200,00;92,00;AAA025v001;3,00;pc-5.1
201,00;92,00;AAC700v001;4,00;pc-5.1
202,00;92,00;AAA078v001;5,00;pc-5.1
203,00;92,00;AAA077v001;6,00;pc-5.1
204,00;92,00;AAA270v001;7,00;pc-5.1
205,00;90,00;AAA046v001;1,00;pc-5.1
206,00;90,00;AAA047v001;2,00;pc-5.1
207,00;90,00;AAA270v001;3,00;pc-5.1
208,00;96,00;AAA046v001;1,00;pc-5.1
209,00;96,00;AAA178v001;2,00;pc-5.1
210,00;96,00;AAA177v001;3,00;pc-5.1
211,00;96,00;AAA047v001;4,00;pc-5.1
212,00;96,00;AAA045v001;5,00;pc-5.1
213,00;96,00;AAA270v001;6,00;pc-5.1
214,00;98,00;AAA180v001;1,00;pc-5.1
215,00;98,00;AAA062v001;2,00;pc-5.1
216,00;98,00;AAA181v001;3,00;pc-5.1
217,00;98,00;AAA063v001;4,00;pc-5.1
218,00;98,00;AAA179v001;5,00;pc-5.1
219,00;98,00;AAA270v001;6,00;pc-5.1
220,00;99,00;AAA065v001;1,00;pc-5.1
221,00;99,00;AAA066v001;2,00;pc-5.1
222,00;99,00;AAA064v001;3,00;pc-5.1
223,00;99,00;AAA270v001;4,00;pc-5.1
224,00;103,00;AAA448v001;1,00;pc-5.1
225,00;103,00;AAB237v001;2,00;pc-5.1
226,00;103,00;AAA270v001;3,00;pc-5.1
227,00;106,00;AAA074v001;1,00;pc-5.1
228,00;106,00;AAA075v001;2,00;pc-5.1
229,00;106,00;AAA270v001;3,00;pc-5.1
230,00;104,00;AAA182v001;1,00;pc-5.1
231,00;104,00;AAA046v001;2,00;pc-5.1
232,00;104,00;AAA047v001;3,00;pc-5.1
233,00;104,00;AAA270v001;4,00;pc-5.1
234,00;107,00;AAA180v001;1,00;pc-5.1
235,00;107,00;AAA062v001;2,00;pc-5.1
236,00;107,00;AAA063v001;3,00;pc-5.1
237,00;107,00;AAA179v001;4,00;pc-5.1
238,00;107,00;EAB878v001;5,00;pc-5.1
239,00;107,00;AAA270v001;6,00;pc-5.1
240,00;108,00;AAA065v001;1,00;pc-5.1
241,00;108,00;AAA066v001;2,00;pc-5.1
242,00;108,00;AAA064v001;3,00;pc-5.1
243,00;108,00;AAA270v001;4,00;pc-5.1
244,00;109,00;EAA304v001;1,00;pc-5.1
245,00;109,00;AAA081v001;10,00;pc-5.1
246,00;109,00;AAA077v001;11,00;pc-5.1
247,00;109,00;AAA270v001;12,00;pc-5.1
248,00;109,00;AAA072v001;2,00;pc-5.1
249,00;109,00;AAA069v001;3,00;pc-5.1
250,00;109,00;AAA025v001;4,00;pc-5.1
251,00;109,00;AAA080v001;5,00;pc-5.1
252,00;109,00;EAB879v001;6,00;pc-5.1
253,00;109,00;AAC700v001;7,00;pc-5.1
254,00;109,00;AAA078v001;8,00;pc-5.1
255,00;109,00;EAA660v001;9,00;pc-5.1
256,00;116,00;AAA068v001;1,00;pc-5.1
257,00;116,00;AAA046v001;2,00;pc-5.1
258,00;116,00;AAA047v001;3,00;pc-5.1
259,00;116,00;AAA045v001;4,00;pc-5.1
260,00;116,00;AAA270v001;5,00;pc-5.1
261,00;125,00;EAB882v001;1,00;pc-5.1
262,00;125,00;AAE031v001;2,00;pc-5.1
263,00;125,00;AAA046v001;3,00;pc-5.1
264,00;125,00;AAA047v001;4,00;pc-5.1
265,00;125,00;AAA045v001;5,00;pc-5.1
266,00;125,00;AAA270v001;6,00;pc-5.1
267,00;129,00;EAE198v001;1,00;pc-5.1
268,00;129,00;EAE199v001;2,00;pc-5.1
269,00;129,00;AAA270v001;3,00;pc-5.1
270,00;124,00;EAB881v001;1,00;pc-5.1
271,00;124,00;AAA068v001;2,00;pc-5.1
272,00;124,00;EAB880v001;3,00;pc-5.1
273,00;124,00;AAC700v001;4,00;pc-5.1
274,00;124,00;AAC982v001;5,00;pc-5.1
275,00;124,00;AAD770v001;6,00;pc-5.1
276,00;124,00;AAC967v001;7,00;pc-5.1
277,00;124,00;EAB878v001;8,00;pc-5.1
278,00;124,00;AAA270v001;9,00;pc-5.1
279,00;130,00;EAB886v001;1,00;pc-5.1
280,00;130,00;EAA608v001;2,00;pc-5.1
281,00;130,00;EAB885v001;3,00;pc-5.1
282,00;130,00;EAB887v001;4,00;pc-5.1
283,00;130,00;EAB884v001;5,00;pc-5.1
284,00;130,00;EAB883v001;6,00;pc-5.1
285,00;130,00;AAC748v001;7,00;pc-5.1
286,00;130,00;AAA270v001;8,00;pc-5.1
287,00;132,00;AAA044v001;1,00;pc-5.1
288,00;132,00;EAB893v001;10,00;pc-5.1
289,00;132,00;AAA077v001;11,00;pc-5.1
290,00;132,00;AAA270v001;12,00;pc-5.1
291,00;132,00;EAB894v001;2,00;pc-5.1
292,00;132,00;AAA073v001;3,00;pc-5.1
293,00;132,00;EAB896v001;4,00;pc-5.1
294,00;132,00;EAB895v001;5,00;pc-5.1
295,00;132,00;AAA042v001;6,00;pc-5.1
296,00;132,00;AAA043v001;7,00;pc-5.1
297,00;132,00;AAA067v001;8,00;pc-5.1
298,00;132,00;EAB892v001;9,00;pc-5.1
299,00;131,00;AAA046v001;1,00;pc-5.1
300,00;131,00;EAB891v001;2,00;pc-5.1
301,00;131,00;AAA047v001;3,00;pc-5.1
302,00;131,00;EAB890v001;4,00;pc-5.1
303,00;131,00;AAA045v001;5,00;pc-5.1
304,00;131,00;AAA270v001;6,00;pc-5.1
305,00;133,00;AAA175v001;1,00;pc-5.1
306,00;133,00;AAA050v001;2,00;pc-5.1
307,00;133,00;AAA048v001;3,00;pc-5.1
308,00;133,00;AAA051v001;4,00;pc-5.1
309,00;133,00;AAA270v001;5,00;pc-5.1
310,00;136,00;AAB584v001;1,00;pc-5.1
311,00;136,00;AAB583v001;2,00;pc-5.1
312,00;136,00;AAB582v001;3,00;pc-5.1
313,00;136,00;AAA270v001;4,00;pc-5.1
314,00;141,00;AAA082v001;1,00;pc-5.1
315,00;141,00;AAA083v001;2,00;pc-5.1
316,00;141,00;AAA270v001;3,00;pc-5.1
317,00;148,00;AAA044v001;1,00;pc-5.1
318,00;148,00;EAB892v001;10,00;pc-5.1
319,00;148,00;EAB900v001;11,00;pc-5.1
320,00;148,00;EAB901v001;12,00;pc-5.1
321,00;148,00;AAA077v001;13,00;pc-5.1
322,00;148,00;AAA270v001;14,00;pc-5.1
323,00;148,00;EAB894v001;2,00;pc-5.1
324,00;148,00;AAA109v001;3,00;pc-5.1
325,00;148,00;AAA449v001;4,00;pc-5.1
326,00;148,00;AAC053v001;5,00;pc-5.1
327,00;148,00;EAB896v001;6,00;pc-5.1
328,00;148,00;EAB902v001;7,00;pc-5.1
329,00;148,00;AAA450v001;8,00;pc-5.1
330,00;148,00;AAA067v001;9,00;pc-5.1
331,00;150,00;AAA041v001;1,00;pc-5.1
332,00;150,00;AAA017v001;2,00;pc-5.1
333,00;150,00;AAA448v001;3,00;pc-5.1
334,00;150,00;AAA270v001;4,00;pc-5.1
335,00;147,00;AAA046v001;1,00;pc-5.1
336,00;147,00;EAB899v001;2,00;pc-5.1
337,00;147,00;AAA047v001;3,00;pc-5.1
338,00;147,00;EAB890v001;4,00;pc-5.1
339,00;147,00;AAA045v001;5,00;pc-5.1
340,00;147,00;AAA270v001;6,00;pc-5.1
341,00;151,00;AAA175v001;1,00;pc-5.1
342,00;151,00;AAA050v001;2,00;pc-5.1
343,00;151,00;AAA048v001;3,00;pc-5.1
344,00;151,00;AAA051v001;4,00;pc-5.1
345,00;151,00;AAA270v001;5,00;pc-5.1
346,00;153,00;AAB798v001;1,00;pc-5.1
347,00;153,00;EAB908v001;10,00;pc-5.1
348,00;153,00;AAD047v001;11,00;pc-5.1
349,00;153,00;AAD049v001;12,00;pc-5.1
350,00;153,00;AAD050v001;13,00;pc-5.1
351,00;153,00;AAD052v001;14,00;pc-5.1
352,00;153,00;AAD053v001;15,00;pc-5.1
353,00;153,00;AAD051v001;16,00;pc-5.1
354,00;153,00;AAD054v001;17,00;pc-5.1
355,00;153,00;AAD055v001;18,00;pc-5.1
356,00;153,00;AAA270v001;19,00;pc-5.1
357,00;153,00;EAB903v001;2,00;pc-5.1
358,00;153,00;AAB754v001;3,00;pc-5.1
359,00;153,00;AAB771v001;4,00;pc-5.1
360,00;153,00;AAD048v001;5,00;pc-5.1
361,00;153,00;EAB905v001;6,00;pc-5.1
362,00;153,00;EAB904v001;7,00;pc-5.1
363,00;153,00;EAB906v001;8,00;pc-5.1
364,00;153,00;EAB907v001;9,00;pc-5.1
365,00;155,00;AAB584v001;1,00;pc-5.1
366,00;155,00;AAB583v001;2,00;pc-5.1
367,00;155,00;AAB582v001;3,00;pc-5.1
368,00;155,00;AAA270v001;4,00;pc-5.1
369,00;156,00;EAB897v001;1,00;pc-5.1
370,00;156,00;EAB898v001;2,00;pc-5.1
371,00;156,00;AAA270v001;3,00;pc-5.1
372,00;157,00;AAA046v001;1,00;pc-5.1
373,00;157,00;AAA047v001;2,00;pc-5.1
374,00;157,00;AAA045v001;3,00;pc-5.1
375,00;157,00;AAA270v001;4,00;pc-5.1
376,00;168,00;AAA071v001;1,00;pc-5.1
377,00;168,00;AAA067v001;2,00;pc-5.1
378,00;168,00;AAA028v001;3,00;pc-5.1
379,00;168,00;AAA270v001;4,00;pc-5.1
380,00;165,00;AAA793v001;1,00;pc-5.1
381,00;165,00;AAB001v001;2,00;pc-5.1
382,00;165,00;AAB002v001;3,00;pc-5.1
383,00;165,00;AAA270v001;4,00;pc-5.1
384,00;167,00;AAB003v001;1,00;pc-5.1
385,00;167,00;AAB004v001;2,00;pc-5.1
386,00;167,00;AAB005v001;3,00;pc-5.1
387,00;167,00;AAE153v001;4,00;pc-5.1
388,00;167,00;AAB006v001;5,00;pc-5.1
389,00;167,00;AAB007v001;6,00;pc-5.1
390,00;167,00;AAB008v001;7,00;pc-5.1
391,00;167,00;AAA270v001;8,00;pc-5.1
392,00;167,00;AAA008v001;9,00;pc-5.1
393,00;176,00;AAA071v001;1,00;pc-5.1
394,00;176,00;AAA028v001;2,00;pc-5.1
395,00;176,00;AAA270v001;3,00;pc-5.1
396,00;172,00;AAA889v001;1,00;pc-5.1
397,00;172,00;AAA890v001;2,00;pc-5.1
398,00;172,00;AAA095v001;3,00;pc-5.1
399,00;172,00;AAA094v001;4,00;pc-5.1
400,00;172,00;AAA270v001;5,00;pc-5.1
401,00;170,00;AAA887v001;1,00;pc-5.1
402,00;170,00;AAA888v001;2,00;pc-5.1
403,00;170,00;AAA270v001;3,00;pc-5.1
404,00;169,00;AAA885v001;1,00;pc-5.1
405,00;169,00;AAA886v001;2,00;pc-5.1
406,00;169,00;AAA270v001;3,00;pc-5.1
407,00;173,00;AAA891v001;1,00;pc-5.1
408,00;173,00;AAA892v001;2,00;pc-5.1
409,00;173,00;AAA270v001;3,00;pc-5.1
410,00;183,00;AAA071v001;1,00;pc-5.1
411,00;183,00;AAA067v001;2,00;pc-5.1
412,00;183,00;AAA270v001;3,00;pc-5.1
413,00;185,00;AAA104v001;1,00;pc-5.1
414,00;185,00;AAE217v001;2,00;pc-5.1
415,00;185,00;AAA270v001;3,00;pc-5.1
416,00;184,00;AAA099v001;1,00;pc-5.1
417,00;184,00;AAA103v001;2,00;pc-5.1
418,00;184,00;AAA270v001;3,00;pc-5.1
419,00;179,00;AAC021v001;1,00;pc-5.1
420,00;179,00;AAA093v001;2,00;pc-5.1
421,00;179,00;AAA270v001;3,00;pc-5.1
422,00;195,00;AAA071v001;1,00;pc-5.1
423,00;195,00;AAA107v001;2,00;pc-5.1
424,00;195,00;AAA067v001;3,00;pc-5.1
425,00;195,00;AAA270v001;4,00;pc-5.1
426,00;188,00;AAA106v001;1,00;pc-5.1
427,00;188,00;AAA094v001;2,00;pc-5.1
428,00;188,00;AAA270v001;3,00;pc-5.1
429,00;189,00;AAA097v001;1,00;pc-5.1
430,00;189,00;AAA098v001;2,00;pc-5.1
431,00;189,00;AAA108v001;3,00;pc-5.1
432,00;189,00;AAA270v001;4,00;pc-5.1
433,00;192,00;AAA101v001;1,00;pc-5.1
434,00;192,00;AAA270v001;2,00;pc-5.1
435,00;196,00;AAA071v001;1,00;pc-5.1
436,00;196,00;AAA067v001;2,00;pc-5.1
437,00;196,00;AAE216v001;3,00;pc-5.1
438,00;196,00;AAA270v001;4,00;pc-5.1
439,00;197,00;AAA092v001;1,00;pc-5.1
440,00;197,00;AAC021v001;2,00;pc-5.1
441,00;197,00;AAA270v001;3,00;pc-5.1
442,00;203,00;AAA071v001;1,00;pc-5.1
443,00;203,00;AAA107v001;2,00;pc-5.1
444,00;203,00;AAA067v001;3,00;pc-5.1
445,00;203,00;AAE216v001;4,00;pc-5.1
446,00;203,00;AAA270v001;5,00;pc-5.1
447,00;204,00;AAA092v001;1,00;pc-5.1
448,00;204,00;AAC021v001;2,00;pc-5.1
449,00;204,00;AAA270v001;3,00;pc-5.1
450,00;210,00;AAA411v001;1,00;pc-5.1
451,00;210,00;AAA107v001;2,00;pc-5.1
452,00;210,00;AAA067v001;3,00;pc-5.1
453,00;210,00;AAA596v001;4,00;pc-5.1
454,00;210,00;AAA270v001;5,00;pc-5.1
455,00;216,00;AAA927v001;1,00;pc-5.1
456,00;216,00;AAA270v001;2,00;pc-5.1
457,00;216,00;AAA008v001;3,00;pc-5.1
458,00;227,00;AAA071v001;1,00;pc-5.1
459,00;227,00;AAA090v001;2,00;pc-5.1
460,00;227,00;AAA107v001;3,00;pc-5.1
461,00;227,00;AAA067v001;4,00;pc-5.1
462,00;227,00;AAA726v001;5,00;pc-5.1
463,00;227,00;AAA270v001;6,00;pc-5.1
464,00;220,00;AAA259v001;1,00;pc-5.1
465,00;220,00;AAD565v001;2,00;pc-5.1
466,00;220,00;AAA102v001;3,00;pc-5.1
467,00;220,00;AAA270v001;4,00;pc-5.1
468,00;218,00;AAA693v001;1,00;pc-5.1
469,00;218,00;AAA270v001;2,00;pc-5.1
470,00;218,00;AAA008v001;3,00;pc-5.1
471,00;235,00;AAA112v001;1,00;pc-5.1
472,00;235,00;AAA071v001;2,00;pc-5.1
473,00;235,00;AAA090v001;3,00;pc-5.1
474,00;235,00;AAA107v001;4,00;pc-5.1
475,00;235,00;AAA113v001;5,00;pc-5.1
476,00;235,00;AAA067v001;6,00;pc-5.1
477,00;235,00;AAA270v001;7,00;pc-5.1
478,00;228,00;AAA111v001;1,00;pc-5.1
479,00;228,00;AAA110v001;2,00;pc-5.1
480,00;228,00;AAA270v001;3,00;pc-5.1
481,00;236,00;AAA741v001;1,00;pc-5.1
482,00;236,00;AAA742v001;2,00;pc-5.1
483,00;236,00;AAA270v001;3,00;pc-5.1
484,00;236,00;AAA008v001;4,00;pc-5.1
485,00;239,00;AAA109v001;1,00;pc-5.1
486,00;239,00;AAA067v001;2,00;pc-5.1
487,00;239,00;AAA270v001;3,00;pc-5.1
488,00;241,00;AAA114v001;1,00;pc-5.1
489,00;241,00;AAA111v001;2,00;pc-5.1
490,00;241,00;AAA110v001;3,00;pc-5.1
491,00;241,00;AAA270v001;4,00;pc-5.1
492,00;244,00;AAA071v001;1,00;pc-5.1
493,00;244,00;AAA408v001;10,00;pc-5.1
494,00;244,00;AAA270v001;11,00;pc-5.1
495,00;244,00;AAA090v001;2,00;pc-5.1
496,00;244,00;AAA107v001;3,00;pc-5.1
497,00;244,00;AAA113v001;4,00;pc-5.1
498,00;244,00;AAA124v001;5,00;pc-5.1
499,00;244,00;AAA067v001;6,00;pc-5.1
500,00;244,00;AAA406v001;7,00;pc-5.1
501,00;244,00;AAA409v001;8,00;pc-5.1
502,00;244,00;AAA407v001;9,00;pc-5.1
503,00;253,00;AAA116v001;1,00;pc-5.1
504,00;253,00;AAA115v001;2,00;pc-5.1
505,00;253,00;AAA270v001;3,00;pc-5.1
506,00;252,00;AAD045v001;1,00;pc-5.1
507,00;252,00;AAA094v001;2,00;pc-5.1
508,00;252,00;AAA270v001;3,00;pc-5.1
509,00;245,00;AAA011v001;1,00;pc-5.1
510,00;245,00;AAA110v001;2,00;pc-5.1
511,00;245,00;AAA270v001;3,00;pc-5.1
512,00;254,00;AAA118v001;1,00;pc-5.1
513,00;254,00;AAA117v001;2,00;pc-5.1
514,00;254,00;AAA270v001;3,00;pc-5.1
515,00;250,00;AAA393v001;1,00;pc-5.1
516,00;250,00;AAA394v001;2,00;pc-5.1
517,00;250,00;AAA410v001;3,00;pc-5.1
518,00;250,00;AAA247v001;4,00;pc-5.1
519,00;250,00;AAA248v001;5,00;pc-5.1
520,00;250,00;AAA270v001;6,00;pc-5.1
521,00;259,00;AAA119v001;1,00;pc-5.1
522,00;259,00;AAA120v001;2,00;pc-5.1
523,00;259,00;AAA094v001;3,00;pc-5.1
524,00;259,00;AAA122v001;4,00;pc-5.1
525,00;259,00;AAA121v001;5,00;pc-5.1
526,00;259,00;AAA270v001;6,00;pc-5.1
527,00;262,00;AAE156v001;1,00;pc-5.1
528,00;262,00;AAE157v001;2,00;pc-5.1
529,00;262,00;AAE158v001;3,00;pc-5.1
530,00;262,00;AAE159v001;4,00;pc-5.1
531,00;262,00;AAE160v001;5,00;pc-5.1
532,00;262,00;AAE161v001;6,00;pc-5.1
533,00;262,00;AAE162v001;7,00;pc-5.1
