KlasseMerkmalWert_Nr;KlasseMerkmal_Nr;Wert_ID;Sortier_Nr Wert_de;Klassifikationssystem_ID
1,00;10,00;AAA025v001;1,00;pc-5.1
2,00;10,00;AAA067v001;2,00;pc-5.1
3,00;10,00;AAE548v001;3,00;pc-5.1
4,00;10,00;AAA270v001;4,00;pc-5.1
5,00;6,00;AAE545v001;1,00;pc-5.1
6,00;6,00;AAB452v001;2,00;pc-5.1
7,00;6,00;AAE544v001;3,00;pc-5.1
8,00;6,00;AAA561v001;4,00;pc-5.1
9,00;6,00;AAA562v001;5,00;pc-5.1
10,00;6,00;AAB079v001;6,00;pc-5.1
11,00;6,00;AAA007v001;7,00;pc-5.1
12,00;6,00;AAA006v001;8,00;pc-5.1
13,00;6,00;AAA270v001;9,00;pc-5.1
14,00;7,00;AAE546v001;1,00;pc-5.1
15,00;7,00;AAA002v001;2,00;pc-5.1
16,00;7,00;AAA562v001;3,00;pc-5.1
17,00;7,00;AAB450v001;4,00;pc-5.1
18,00;7,00;AAE547v001;5,00;pc-5.1
19,00;7,00;AAA270v001;6,00;pc-5.1
20,00;7,00;AAA008v001;7,00;pc-5.1
21,00;19,00;AAA025v001;1,00;pc-5.1
22,00;19,00;AAA067v001;2,00;pc-5.1
23,00;19,00;AAE548v001;3,00;pc-5.1
24,00;19,00;AAA270v001;4,00;pc-5.1
25,00;15,00;AAE545v001;1,00;pc-5.1
26,00;15,00;AAB452v001;2,00;pc-5.1
27,00;15,00;AAE544v001;3,00;pc-5.1
28,00;15,00;AAA561v001;4,00;pc-5.1
29,00;15,00;AAA562v001;5,00;pc-5.1
30,00;15,00;AAB079v001;6,00;pc-5.1
31,00;15,00;AAA007v001;7,00;pc-5.1
32,00;15,00;AAA006v001;8,00;pc-5.1
33,00;15,00;AAA270v001;9,00;pc-5.1
34,00;16,00;AAE546v001;1,00;pc-5.1
35,00;16,00;AAA002v001;2,00;pc-5.1
36,00;16,00;AAA562v001;3,00;pc-5.1
37,00;16,00;AAB450v001;4,00;pc-5.1
38,00;16,00;AAE547v001;5,00;pc-5.1
39,00;16,00;AAA270v001;6,00;pc-5.1
40,00;16,00;AAA008v001;7,00;pc-5.1
41,00;28,00;AAA025v001;1,00;pc-5.1
42,00;28,00;AAA067v001;2,00;pc-5.1
43,00;28,00;AAA270v001;3,00;pc-5.1
44,00;21,00;AAE550v001;1,00;pc-5.1
45,00;21,00;AAA270v001;2,00;pc-5.1
46,00;21,00;AAA008v001;3,00;pc-5.1
47,00;29,00;AAB093v001;1,00;pc-5.1
48,00;29,00;AAA017v001;2,00;pc-5.1
49,00;29,00;AAA270v001;3,00;pc-5.1
50,00;23,00;AAE545v001;1,00;pc-5.1
51,00;23,00;AAB452v001;2,00;pc-5.1
52,00;23,00;AAE544v001;3,00;pc-5.1
53,00;23,00;AAA561v001;4,00;pc-5.1
54,00;23,00;AAA562v001;5,00;pc-5.1
55,00;23,00;AAB079v001;6,00;pc-5.1
56,00;23,00;AAA006v001;7,00;pc-5.1
57,00;23,00;AAA270v001;8,00;pc-5.1
58,00;24,00;AAE546v001;1,00;pc-5.1
59,00;24,00;AAA002v001;2,00;pc-5.1
60,00;24,00;AAA562v001;3,00;pc-5.1
61,00;24,00;AAB450v001;4,00;pc-5.1
62,00;24,00;AAE547v001;5,00;pc-5.1
63,00;24,00;AAA270v001;6,00;pc-5.1
64,00;24,00;AAA008v001;7,00;pc-5.1
65,00;38,00;AAA025v001;1,00;pc-5.1
66,00;38,00;AAA067v001;2,00;pc-5.1
67,00;38,00;AAA270v001;3,00;pc-5.1
68,00;31,00;AAE550v001;1,00;pc-5.1
69,00;31,00;AAA270v001;2,00;pc-5.1
70,00;31,00;AAA008v001;3,00;pc-5.1
71,00;39,00;AAB093v001;1,00;pc-5.1
72,00;39,00;AAA017v001;2,00;pc-5.1
73,00;39,00;AAA270v001;3,00;pc-5.1
74,00;33,00;AAE545v001;1,00;pc-5.1
75,00;33,00;AAB452v001;2,00;pc-5.1
76,00;33,00;AAE544v001;3,00;pc-5.1
77,00;33,00;AAA561v001;4,00;pc-5.1
78,00;33,00;AAA562v001;5,00;pc-5.1
79,00;33,00;AAB079v001;6,00;pc-5.1
80,00;33,00;AAA007v001;7,00;pc-5.1
81,00;33,00;AAA006v001;8,00;pc-5.1
82,00;33,00;AAA270v001;9,00;pc-5.1
83,00;34,00;AAE546v001;1,00;pc-5.1
84,00;34,00;AAA002v001;2,00;pc-5.1
85,00;34,00;AAA562v001;3,00;pc-5.1
86,00;34,00;AAB450v001;4,00;pc-5.1
87,00;34,00;AAE547v001;5,00;pc-5.1
88,00;34,00;AAA270v001;6,00;pc-5.1
89,00;34,00;AAA008v001;7,00;pc-5.1
90,00;47,00;AAA025v001;1,00;pc-5.1
91,00;47,00;AAA067v001;2,00;pc-5.1
92,00;47,00;AAE548v001;3,00;pc-5.1
93,00;47,00;AAA270v001;4,00;pc-5.1
94,00;41,00;AAE556v001;1,00;pc-5.1
95,00;41,00;AAA270v001;2,00;pc-5.1
96,00;41,00;AAA008v001;3,00;pc-5.1
97,00;48,00;AAA393v001;1,00;pc-5.1
98,00;48,00;AAA394v001;2,00;pc-5.1
99,00;48,00;AAA241v001;3,00;pc-5.1
100,00;48,00;AAA395v001;4,00;pc-5.1
101,00;48,00;AAA245v001;5,00;pc-5.1
102,00;48,00;AAA270v001;6,00;pc-5.1
103,00;43,00;AAE545v001;1,00;pc-5.1
104,00;43,00;AAB452v001;2,00;pc-5.1
105,00;43,00;AAE544v001;3,00;pc-5.1
106,00;43,00;AAA561v001;4,00;pc-5.1
107,00;43,00;AAA562v001;5,00;pc-5.1
108,00;43,00;AAB079v001;6,00;pc-5.1
109,00;43,00;AAA007v001;7,00;pc-5.1
110,00;43,00;AAA006v001;8,00;pc-5.1
111,00;43,00;AAA270v001;9,00;pc-5.1
112,00;44,00;AAE546v001;1,00;pc-5.1
113,00;44,00;AAA002v001;2,00;pc-5.1
114,00;44,00;AAA562v001;3,00;pc-5.1
115,00;44,00;AAB450v001;4,00;pc-5.1
116,00;44,00;AAE547v001;5,00;pc-5.1
117,00;44,00;AAA270v001;6,00;pc-5.1
118,00;44,00;AAA008v001;7,00;pc-5.1
119,00;50,00;AAA168v001;1,00;pc-5.1
120,00;50,00;EAB865v001;2,00;pc-5.1
121,00;50,00;AAA169v001;3,00;pc-5.1
122,00;50,00;AAA077v001;4,00;pc-5.1
123,00;50,00;AAA270v001;5,00;pc-5.1
